survey_week,beach,species_type,total
2011-02-28,NORTH,Shorebird,58
2011-02-28,SOUTH,Shorebird,682
2011-03-07,SOUTH,Shorebird,96
2011-04-11,SOUTH,Shorebird,56
2011-05-09,NORTH,Gull,14
2011-05-09,NORTH,Raptor,2
2011-05-09,NORTH,Shorebird,2870
2011-05-09,SOUTH,Shorebird,100
2011-05-16,NORTH,Raptor,1
2011-05-16,NORTH,Shorebird,183
2011-05-16,SOUTH,Shorebird,114
2011-05-30,NORTH,Shorebird,35
2011-05-30,SOUTH,Gull,3
2011-05-30,SOUTH,Shorebird,129
2011-06-06,NORTH,Gull,497
2011-06-06,NORTH,Raptor,1
2011-06-06,NORTH,Shorebird,210
2011-06-06,SOUTH,Shorebird,123
2011-06-13,NORTH,Gull,493
2011-06-13,NORTH,Raptor,1
2011-06-13,NORTH,Shorebird,26
2011-06-13,SOUTH,Gull,82
2011-06-13,SOUTH,Shorebird,175
2011-06-20,NORTH,Gull,533
2011-06-20,NORTH,Shorebird,84
2011-06-20,PURISIMA,Shorebird,2
2011-06-20,SOUTH,Gull,212
2011-06-20,SOUTH,Shorebird,151
2011-06-27,NORTH,Gull,908
2011-06-27,NORTH,Raptor,7
2011-06-27,NORTH,Shorebird,154
2011-06-27,SOUTH,Gull,102
2011-06-27,SOUTH,Shorebird,89
2011-07-04,NORTH,Gull,1298
2011-07-04,NORTH,Raptor,1
2011-07-04,NORTH,Shorebird,114
2011-07-04,SOUTH,Gull,279
2011-07-04,SOUTH,Shorebird,153
2011-07-11,NORTH,Gull,500
2011-07-11,NORTH,Raptor,1
2011-07-11,NORTH,Shorebird,119
2011-07-11,PURISIMA,Gull,90
2011-07-11,PURISIMA,Shorebird,1
2011-07-11,SOUTH,Gull,84
2011-07-11,SOUTH,Shorebird,65
2011-07-18,NORTH,Gull,1354
2011-07-18,NORTH,Raptor,6
2011-07-18,NORTH,Shorebird,142
2011-07-18,SOUTH,Gull,137
2011-07-18,SOUTH,Shorebird,133
2011-07-25,NORTH,Gull,1422
2011-07-25,NORTH,Shorebird,92
2011-07-25,PURISIMA,Gull,17
2011-07-25,PURISIMA,Shorebird,7
2011-07-25,SOUTH,Gull,418
2011-07-25,SOUTH,Shorebird,262
2011-08-01,NORTH,Gull,1488
2011-08-01,NORTH,Raptor,6
2011-08-01,NORTH,Shorebird,77
2011-08-01,PURISIMA,Gull,43
2011-08-01,PURISIMA,Raptor,1
2011-08-01,PURISIMA,Shorebird,18
2011-08-01,SOUTH,Gull,256
2011-08-01,SOUTH,Shorebird,361
2011-08-08,NORTH,Gull,815
2011-08-08,NORTH,Raptor,6
2011-08-08,NORTH,Shorebird,92
2011-08-08,PURISIMA,Gull,130
2011-08-08,PURISIMA,Raptor,1
2011-08-08,PURISIMA,Shorebird,2
2011-08-08,PURISIMA,Tern,2
2011-08-15,NORTH,Gull,1670
2011-08-15,NORTH,Raptor,5
2011-08-15,NORTH,Shorebird,99
2011-08-15,SOUTH,Gull,357
2011-08-15,SOUTH,Shorebird,270
2011-08-22,NORTH,Gull,931
2011-08-22,NORTH,Raptor,2
2011-08-22,NORTH,Shorebird,51
2011-08-22,SOUTH,Gull,277
2011-08-22,SOUTH,Raptor,6
2011-08-22,SOUTH,Shorebird,575
2011-08-29,NORTH,Gull,183
2011-08-29,NORTH,Shorebird,213
2011-08-29,PURISIMA,Gull,72
2011-08-29,PURISIMA,Shorebird,520
2011-08-29,SOUTH,Gull,241
2011-08-29,SOUTH,Raptor,3
2011-08-29,SOUTH,Shorebird,213
2011-09-05,NORTH,Gull,1616
2011-09-05,NORTH,Raptor,5
2011-09-05,NORTH,Shorebird,283
2011-09-05,PURISIMA,Gull,29
2011-09-05,PURISIMA,Raptor,1
2011-09-05,PURISIMA,Shorebird,207
2011-09-05,SOUTH,Gull,119
2011-09-05,SOUTH,Raptor,3
2011-09-05,SOUTH,Shorebird,226
2011-09-12,NORTH,Gull,625
2011-09-12,NORTH,Shorebird,139
2011-09-12,SOUTH,Gull,215
2011-09-12,SOUTH,Raptor,5
2011-09-12,SOUTH,Shorebird,620
2011-09-19,NORTH,Gull,1262
2011-09-19,NORTH,Raptor,1
2011-09-19,NORTH,Shorebird,2283
2011-09-19,PURISIMA,Gull,14
2011-09-19,PURISIMA,Shorebird,302
2011-09-19,SOUTH,Gull,52
2011-09-19,SOUTH,Raptor,2
2011-09-19,SOUTH,Shorebird,269
2011-09-26,NORTH,Gull,612
2011-09-26,NORTH,Shorebird,188
2011-09-26,SOUTH,Gull,115
2011-09-26,SOUTH,Raptor,4
2011-09-26,SOUTH,Shorebird,603
2012-01-16,NORTH,Shorebird,112
2012-01-16,PURISIMA,Shorebird,2
2012-02-27,NORTH,Shorebird,13
2012-02-27,SOUTH,Shorebird,93
2012-03-05,NORTH,Gull,3
2012-03-05,NORTH,Raptor,5
2012-03-05,NORTH,Shorebird,3432
2012-03-05,SOUTH,Raptor,3
2012-03-05,SOUTH,Shorebird,4953
