survey_week,beach_section_initials,beach,species,species_type,total
2012-01-16,MIN,NORTH,SNPL,Shorebird,24
2012-01-16,PNO,PURISIMA,SNPL,Shorebird,2
2012-01-16,SAN,NORTH,SNPL,Shorebird,45
2012-01-16,SHN,NORTH,SNPL,Shorebird,28
2012-01-16,SHS,NORTH,SNPL,Shorebird,15
2016-01-18,MIN,NORTH,SAND,Shorebird,77
2016-01-18,MIN,NORTH,SNPL,Shorebird,15
2016-01-18,PNO,PURISIMA,SAND,Shorebird,69
2016-01-18,PNO,PURISIMA,SNPL,Shorebird,2
2016-01-18,SAN,NORTH,MERL,Raptor,1
2016-01-18,SAN,NORTH,SAND,Shorebird,63
2016-01-18,SAN,NORTH,SNPL,Shorebird,32
2016-01-18,SAN,NORTH,WEGU,Gull,5
2016-01-18,SHN,NORTH,BBPL,Shorebird,1
2016-01-18,SHN,NORTH,LBCU,Shorebird,2
2016-01-18,SHN,NORTH,SAND,Shorebird,112
2016-01-18,SHN,NORTH,SNPL,Shorebird,3
2016-01-18,SHN,NORTH,WEGU,Gull,1
2016-01-18,SHS,NORTH,LBCU,Shorebird,1
2016-01-18,SHS,NORTH,SAND,Shorebird,67
2016-01-18,SHS,NORTH,SNPL,Shorebird,4
2016-01-18,SNO,SOUTH,AMKE,Raptor,1
2016-01-18,SNO,SOUTH,RTHA,Raptor,1
2016-01-18,SNO,SOUTH,SAND,Shorebird,196
2016-01-18,SNO,SOUTH,SNPL,Shorebird,64
2016-01-18,SSO,SOUTH,SAND,Shorebird,200
2016-01-18,SSO,SOUTH,SNPL,Shorebird,44
2016-01-18,SSO,SOUTH,WEGU,Gull,2
2016-01-18,SSO,SOUTH,WHIM,Shorebird,1
2016-01-18,WAL,SOUTH,DUNL,Shorebird,2
2016-01-18,WAL,SOUTH,SAND,Shorebird,159
2016-01-18,WAL,SOUTH,SNPL,Shorebird,35
2015-01-19,MIN,NORTH,SAND,Shorebird,332
2015-01-19,MIN,NORTH,SNPL,Shorebird,24
2015-01-19,MIN,NORTH,SPSA,Shorebird,2
2015-01-19,PNO,PURISIMA,BBPL,Shorebird,1
2015-01-19,PNO,PURISIMA,SAND,Shorebird,70
2015-01-19,PNO,PURISIMA,SNPL,Shorebird,8
2015-01-19,PNO,PURISIMA,SPSA,Shorebird,1
2015-01-19,SAN,NORTH,BBPL,Shorebird,40
2015-01-19,SAN,NORTH,PEFA,Raptor,2
2015-01-19,SAN,NORTH,SAND,Shorebird,168
2015-01-19,SAN,NORTH,SNPL,Shorebird,44
2015-01-19,SAN,NORTH,WEGU,Gull,4
2015-01-19,SHN,NORTH,CAGU,Gull,1
2015-01-19,SHN,NORTH,SAND,Shorebird,1121
2015-01-19,SHS,NORTH,SAND,Shorebird,1019
2015-01-19,SNO,SOUTH,AMKE,Raptor,1
2015-01-19,SNO,SOUTH,RTHA,Raptor,1
2015-01-19,SNO,SOUTH,SNPL,Shorebird,22
2015-01-19,SSO,SOUTH,LBCU,Shorebird,4
2015-01-19,SSO,SOUTH,OSPR,Raptor,1
2015-01-19,SSO,SOUTH,SAND,Shorebird,990
2015-01-19,SSO,SOUTH,SNPL,Shorebird,46
2015-01-19,WAL,SOUTH,BBPL,Shorebird,30
2015-01-19,WAL,SOUTH,CAGU,Gull,39
2015-01-19,WAL,SOUTH,LBCU,Shorebird,4
2015-01-19,WAL,SOUTH,LESA,Shorebird,1
2015-01-19,WAL,SOUTH,SAND,Shorebird,232
2015-01-19,WAL,SOUTH,SNPL,Shorebird,52
2015-01-19,WAL,SOUTH,WEGU,Gull,50
2014-01-20,MIN,NORTH,BBPL,Shorebird,55
2014-01-20,MIN,NORTH,CAGU,Gull,85
2014-01-20,MIN,NORTH,HEEG,Gull,22
2014-01-20,MIN,NORTH,KILL,Shorebird,2
2014-01-20,MIN,NORTH,LBCU,Shorebird,6
2014-01-20,MIN,NORTH,WEGU,Gull,56
2014-01-20,MIN,NORTH,WHIM,Shorebird,6
2014-01-20,PNO,PURISIMA,BBPL,Shorebird,8
2014-01-20,SAN,NORTH,BBPL,Shorebird,139
2014-01-20,SAN,NORTH,CAGU,Gull,1
2014-01-20,SAN,NORTH,NOHA,Raptor,1
2014-01-20,SAN,NORTH,SAND,Shorebird,80
2014-01-20,SAN,NORTH,SNPL,Shorebird,110
2014-01-20,SAN,NORTH,WEGU,Gull,1
2014-01-20,SHN,NORTH,BBPL,Shorebird,63
2014-01-20,SHN,NORTH,CAGU,Gull,151
2014-01-20,SHN,NORTH,HERG,Gull,35
2014-01-20,SHN,NORTH,KILL,Shorebird,3
2014-01-20,SHN,NORTH,LBCU,Shorebird,18
2014-01-20,SHN,NORTH,MAGO,Shorebird,6
2014-01-20,SHN,NORTH,SNPL,Shorebird,34
2014-01-20,SHN,NORTH,WEGU,Gull,8
2014-01-20,SHN,NORTH,WHIM,Shorebird,4
2014-01-20,SHS,NORTH,BBPL,Shorebird,165
2014-01-20,SHS,NORTH,MAGO,Shorebird,1
2014-01-20,SHS,NORTH,WHIM,Shorebird,1
2014-01-20,SNO,SOUTH,SNPL,Shorebird,76
2014-01-20,SSO,SOUTH,BBPL,Shorebird,4
2014-01-20,SSO,SOUTH,SAND,Shorebird,304
2014-01-20,SSO,SOUTH,SEPL,Shorebird,3
2014-01-20,SSO,SOUTH,SNPL,Shorebird,98
2014-01-20,SSO,SOUTH,WEGU,Gull,1
2014-01-20,WAL,SOUTH,BBPL,Shorebird,1
2014-01-20,WAL,SOUTH,SAND,Shorebird,14
