transect_block,x_proj,y_proj,Latitude,Longitude
MINOPEN,718408,3860002,34.85892414,-120.61086678
MINBORDER,718496,3859611,34.85538240,-120.61000685
TUVU,718516,3859327,34.85281932,-120.60986230
ALLIGATOR,718531,3859179,34.85148265,-120.60973694
CHEST,718542,3859063,34.85043515,-120.60964696
ANCHOR,718532,3858840,34.84842811,-120.60981438
SHCREEK,718559,3858576,34.84604372,-120.60958812
NEEDLE,718537,3858391,34.84438164,-120.60987677
BOINGI,718523,3858235,34.84297912,-120.61007042
SCAFFOLDING,718508,3858038,34.84120741,-120.61028568
PIXIE,718485,3857838,34.83941038,-120.61058913
SEADRAGON,718440,3857556,34.83687928,-120.61115432
PILLOW,718416,3857398,34.83546088,-120.61145772
CLUB,718400,3857270,34.83431105,-120.61166588
HOOF,718358,3857060,34.83242800,-120.61217948
TIRE,718299,3856840,34.83045850,-120.61288141
THIRSTY,718262,3856625,34.82852932,-120.61334161
BOB,718233,3856428,34.82676059,-120.61370971
ROLLINGROCK,718202,3856186,34.82458686,-120.61411134
SHSSTART,718184,3856007,34.82297795,-120.61435453
RAINBOWSPIN,718134,3855802,34.82114164,-120.61495409
BUOYFARM,718084,3855633,34.81962969,-120.61554427
RUPAUL,718047,3855357,34.81715088,-120.61602018
MINIDUMP,718020,3855178,34.81554390,-120.61636163
OJ,717972,3854912,34.81315754,-120.61695506
BOTTLEBUOY,717928,3854682,34.81109468,-120.61749542
MOLE,717887,3854435,34.80887801,-120.61800738
BOTTLELOG,717859,3854218,34.80692885,-120.61836953
TRILOG,717804,3853967,34.80467912,-120.61903540
SHSEND,717760,3853725,34.80250812,-120.61957875
ARROWHEAD,717685,3853514,34.80062306,-120.62045264
L13BUOY,717662,3853403,34.79962787,-120.62073262
NICEPERCH,717626,3853294,34.79865348,-120.62115406
TOMBSTONE,717631,3853154,34.79739101,-120.62113570
TREX,717614,3853022,34.79620533,-120.62135556
GEEK,717582,3852870,34.79484265,-120.62174442
DEADBUG,717540,3852719,34.79349112,-120.62224222
TEETER,717513,3852589,34.79232559,-120.62257075
SHORTRIBS,717489,3852446,34.79104228,-120.62286986
ELEPHGRAVE,717442,3852313,34.78985399,-120.62341757
STIX,717408,3852211,34.78894222,-120.62381528
JUGHEAD,717348,3852069,34.78767560,-120.62450726
TRASH,717290,3851930,34.78643558,-120.62517660
PICKUPSTIX,717252,3851788,34.78516426,-120.62562829
WISHBONE,717206,3851637,34.78381355,-120.62616964
GROSS,717163,3851508,34.78266043,-120.62667254
TURTLE,717091,3851316,34.78094584,-120.62750837
BOAT,717049,3851145,34.77941407,-120.62801114
NARROWS,717008,3850988,34.77800822,-120.62849937
COBBLE,716793,3850478,34.77345884,-120.63097856
POCKET1,716720,3850211,34.77106867,-120.63184443
POCKET2,716466,3849377,34.76360821,-120.63483234
PURISIMACOL,716531,3848600,34.75659357,-120.63432249
WALL OPEN,719601,3843549,34.71042843,-120.60212310
WALLBORDER,719727,3843076,34.70613964,-120.60087146
WILLOW,719716,3842872,34.70430398,-120.60104456
CANON,719708,3842742,34.70313440,-120.60116567
BEACH FUZZ,719691,3842584,34.70171448,-120.60139224
KNOT,719667,3842471,34.70070151,-120.60168347
LEG,719645,3842340,34.69952593,-120.60195755
TP,719648,3842238,34.69860627,-120.60195135
LOUNGE,719617,3842113,34.69748668,-120.60232204
SPLITLOG,719604,3841901,34.69557936,-120.60251897
CIGAR,719587,3841824,34.69488924,-120.60272444
BOWL,719611,3841694,34.69371279,-120.60249643
TIKI,719574,3841635,34.69318915,-120.60291538
TIP,719554,3841507,34.69204016,-120.60316682
PILE,719512,3841380,34.69090491,-120.60365797
FORK,719460,3841223,34.68950150,-120.60426597
TOTEM,719431,3841109,34.68848058,-120.60461191
BOJUM,719410,3841017,34.68765616,-120.60486487
BUOY,719390,3840890,34.68651618,-120.60511600
NSURFOPEN,719336,3840670,34.68454556,-120.60576211
SSURFCLOSED,719184,3839952,34.67810893,-120.60760622
SIGN,719129,3839745,34.67625563,-120.60825973
PAINT,719086,3839628,34.67521066,-120.60875902
FORT,719045,3839499,34.67405714,-120.60923959
PTRASH,719017,3839358,34.67279271,-120.60958148
STOOL,718987,3839242,34.67175397,-120.60993870
DROOP,718961,3839144,34.67087654,-120.61024762
DRIFTWOOD,718901,3838915,34.66882607,-120.61096123
BORDER TRAIL,718855,3838755,34.66739429,-120.61150428
METEOR,718812,3838680,34.66672773,-120.61199261
STUMP,718776,3838531,34.66539292,-120.61242373
PEBBLE,718754,3838422,34.66441552,-120.61269182
SQUID,718718,3838317,34.66347715,-120.61311154
ELEPHANTSEAL,718662,3838186,34.66230879,-120.61375606
WITCH,718652,3838088,34.66142793,-120.61389043
CAMP,718608,3837926,34.65997769,-120.61441208
OBVIOUSLOG,718577,3837828,34.65910132,-120.61477543
4303BUOY,718544,3837695,34.65791001,-120.61516961
ROCKBLUE,718491,3837587,34.65694823,-120.61577541
FINGER,718449,3837396,34.65523626,-120.61628267
GRANDCANYON,718417,3837280,34.65419791,-120.61666152
AMPHITHEATRE,718345,3837016,34.65183458,-120.61751468
UTAH,718289,3836881,34.65063014,-120.61816007
ICELAVA,718243,3836738,34.64935149,-120.61869848
DISC,718128,3836454,34.64681710,-120.62002548
ENDCOVE,718015,3836133,34.64394889,-120.62134012
