survey_week,transect_block,y_proj,x_proj,species,count,Latitude,Longitude
5/9/2011,MINOPEN,3860002,718408,gull,12,34.85892414,-120.6108668
5/9/2011,MINOPEN,3860002,718408,peeps,200,34.85892414,-120.6108668
5/9/2011,MINOPEN,3860002,718408,WHIM,70,34.85892414,-120.6108668
5/16/2011,MINOPEN,3860002,718408,NOHA,1,34.85892414,-120.6108668
6/6/2011,MINOPEN,3860002,718408,gull,25,34.85892414,-120.6108668
6/13/2011,MINOPEN,3860002,718408,gull,100,34.85892414,-120.6108668
6/20/2011,MINOPEN,3860002,718408,gull,12,34.85892414,-120.6108668
6/20/2011,MINOPEN,3860002,718408,WHIM,30,34.85892414,-120.6108668
6/27/2011,MINOPEN,3860002,718408,gull,5,34.85892414,-120.6108668
6/27/2011,MINOPEN,3860002,718408,HEEG,20,34.85892414,-120.6108668
7/4/2011,MINOPEN,3860002,718408,gull,20,34.85892414,-120.6108668
7/4/2011,MINOPEN,3860002,718408,HEEG,80,34.85892414,-120.6108668
7/18/2011,MINOPEN,3860002,718408,gull,11,34.85892414,-120.6108668
7/18/2011,MINOPEN,3860002,718408,HEEG,44,34.85892414,-120.6108668
7/18/2011,MINOPEN,3860002,718408,WILL,1,34.85892414,-120.6108668
7/25/2011,MINOPEN,3860002,718408,gull,15,34.85892414,-120.6108668
7/25/2011,MINOPEN,3860002,718408,HEEG,60,34.85892414,-120.6108668
8/1/2011,MINOPEN,3860002,718408,gull,20,34.85892414,-120.6108668
8/1/2011,MINOPEN,3860002,718408,HEEG,80,34.85892414,-120.6108668
8/8/2011,MINOPEN,3860002,718408,gull,24,34.85892414,-120.6108668
8/8/2011,MINOPEN,3860002,718408,HEEG,96,34.85892414,-120.6108668
8/15/2011,MINOPEN,3860002,718408,gull,40,34.85892414,-120.6108668
8/15/2011,MINOPEN,3860002,718408,HEEG,160,34.85892414,-120.6108668
8/15/2011,MINOPEN,3860002,718408,gull,20,34.85892414,-120.6108668
8/15/2011,MINOPEN,3860002,718408,HEEG,80,34.85892414,-120.6108668
8/22/2011,MINOPEN,3860002,718408,CAGU,2,34.85892414,-120.6108668
8/22/2011,MINOPEN,3860002,718408,HEEG,10,34.85892414,-120.6108668
8/22/2011,MINOPEN,3860002,718408,WEGU,1,34.85892414,-120.6108668
9/5/2011,MINOPEN,3860002,718408,gull,90,34.85892414,-120.6108668
9/12/2011,MINOPEN,3860002,718408,HEEG,200,34.85892414,-120.6108668
9/19/2011,MINOPEN,3860002,718408,gull,14,34.85892414,-120.6108668
9/19/2011,MINOPEN,3860002,718408,HEEG,56,34.85892414,-120.6108668
9/19/2011,MINOPEN,3860002,718408,peeps,40,34.85892414,-120.6108668
9/26/2011,MINOPEN,3860002,718408,gull,5,34.85892414,-120.6108668
9/26/2011,MINOPEN,3860002,718408,HEEG,20,34.85892414,-120.6108668
3/19/2012,MINOPEN,3860002,718408,WHIM,3,34.85892414,-120.6108668
4/2/2012,MINOPEN,3860002,718408,SAND,100,34.85892414,-120.6108668
4/16/2012,MINOPEN,3860002,718408,SEPL,1,34.85892414,-120.6108668
5/7/2012,MINOPEN,3860002,718408,CAGU,2,34.85892414,-120.6108668
5/7/2012,MINOPEN,3860002,718408,gull,1,34.85892414,-120.6108668
5/7/2012,MINOPEN,3860002,718408,HEEG,1,34.85892414,-120.6108668
5/7/2012,MINOPEN,3860002,718408,SAND,400,34.85892414,-120.6108668
5/7/2012,MINOPEN,3860002,718408,WHIM,1,34.85892414,-120.6108668
5/21/2012,MINOPEN,3860002,718408,gull,20,34.85892414,-120.6108668
6/4/2012,MINOPEN,3860002,718408,gull,2,34.85892414,-120.6108668
6/11/2012,MINOPEN,3860002,718408,CAGU,12,34.85892414,-120.6108668
6/11/2012,MINOPEN,3860002,718408,RBGU,13,34.85892414,-120.6108668
6/25/2012,MINOPEN,3860002,718408,CAGU,4,34.85892414,-120.6108668
6/25/2012,MINOPEN,3860002,718408,HEEG,35,34.85892414,-120.6108668
7/2/2012,MINOPEN,3860002,718408,WEGU,2,34.85892414,-120.6108668
7/9/2012,MINOPEN,3860002,718408,gull,30,34.85892414,-120.6108668
7/16/2012,MINOPEN,3860002,718408,gull,30,34.85892414,-120.6108668
7/23/2012,MINOPEN,3860002,718408,CAGU,4,34.85892414,-120.6108668
7/23/2012,MINOPEN,3860002,718408,HEEG,16,34.85892414,-120.6108668
7/30/2012,MINOPEN,3860002,718408,HEEG,5,34.85892414,-120.6108668
8/6/2012,MINOPEN,3860002,718408,HEEG,55,34.85892414,-120.6108668
8/6/2012,MINOPEN,3860002,718408,WEGU,4,34.85892414,-120.6108668
8/13/2012,MINOPEN,3860002,718408,CAGU,2,34.85892414,-120.6108668
8/13/2012,MINOPEN,3860002,718408,HEEG,15,34.85892414,-120.6108668
8/13/2012,MINOPEN,3860002,718408,WEGU,3,34.85892414,-120.6108668
8/20/2012,MINOPEN,3860002,718408,HEEG,65,34.85892414,-120.6108668
8/20/2012,MINOPEN,3860002,718408,LBCU,7,34.85892414,-120.6108668
8/20/2012,MINOPEN,3860002,718408,WEGU,1,34.85892414,-120.6108668
8/20/2012,MINOPEN,3860002,718408,WILL,1,34.85892414,-120.6108668
8/27/2012,MINOPEN,3860002,718408,MAGO,6,34.85892414,-120.6108668
8/27/2012,MINOPEN,3860002,718408,WHIM,1,34.85892414,-120.6108668
9/17/2012,MINOPEN,3860002,718408,BBPL,2,34.85892414,-120.6108668
9/17/2012,MINOPEN,3860002,718408,HEEG,200,34.85892414,-120.6108668
9/17/2012,MINOPEN,3860002,718408,WHIM,1,34.85892414,-120.6108668
3/18/2013,MINOPEN,3860002,718408,CAGU,1,34.85892414,-120.6108668
3/18/2013,MINOPEN,3860002,718408,WHIM,4,34.85892414,-120.6108668
4/22/2013,MINOPEN,3860002,718408,SEPL,6,34.85892414,-120.6108668
