nsorder,Transect Block,Beach Section Initials,BEACH,TYPE,LAT,LONG,Y_PROJ,X_PROJ,COMMENT,ALTITUDE,length
98,4303BUOY,SSO,SOUTH,CLOSED,35,-121,3837695,718544,05-MAR-11 13:24:47,11,120.3037822
5,ALLIGATOR,MIN,NORTH,CLOSED,35,-121,3859179,718531,16-MAR-11 9:18:44,4,116.5203845
103,AMPHITHEATRE,SSO,SOUTH,CLOSED,35,-121,3837016,718345,05-MAR-11 13:45:49,13,146.1540283
7,ANCHOR,MIN,NORTH,CLOSED,35,-121,3858840,718532,16-MAR-11 9:26:29,9,265.3770902
32,ARROWHEAD,SAN,NORTH,CLOSED,35,-121,3853514,717685,08-MAR-11 9:04:47,3,113.3578405
,BCO A,BCO,DANGERMOND,,34,-120,3814718,734222,,,
,BCO End,BCO,DANGERMOND,,34,-120,3814840,734425,,,
,BCO Start,BCO,DANGERMOND,,34,-120,3814546,734077,,,
61,BEACH FUZZ,WAL,SOUTH,CLOSED,35,-121,3842584,719691,05-MAR-11 9:38:12,5,115.5205609
49,BOAT,SAN,NORTH,CLOSED,35,-121,3851145,717049,08-MAR-11 11:06:12,-1,162.265215
19,BOB,SHN,NORTH,CLOSED,35,-121,3856428,718233,25-MAR-11 11:58:40,6,243.977458
10,BOINGI,SHN,NORTH,CLOSED,35,-121,3858235,718523,16-MAR-11 9:45:25,6,197.5702407
75,BOJUM,SNO,SOUTH,CLOSED,35,-121,3841017,719410,05-MAR-11 11:36:55,-1,128.5651586
89,BORDER TRAIL,SSO,SOUTH,CLOSED,35,-121,3838755,718855,18-MAR-11 9:01:14,8,86.45229899
27,BOTTLEBUOY,SHS,NORTH,CLOSED,35,-121,3854682,717928,25-MAR-11 10:55:39,1,250.3797116
29,BOTTLELOG,SHS,NORTH,CLOSED,35,-121,3854218,717859,25-MAR-11 10:42:11,3,256.955249
69,BOWL,WAL,SOUTH,CLOSED,35,-121,3841694,719611,05-MAR-11 10:14:57,1,69.64194139
,Brown's Beach,BRO,OFF SITE,,35,-121,3863364,715719,24-MAY-12 8:06:58,7,
76,BUOY,SNO,SOUTH,CLOSED,35,-121,3840890,719390,05-MAR-11 11:40:07,0,226.5303512
23,BUOYFARM,SHS,NORTH,CLOSED,35,-121,3855633,718084,25-MAR-11 11:23:07,4,278.4690288
96,CAMP,SSO,SOUTH,CLOSED,35,-121,3837926,718608,05-MAR-11 13:17:11,12,102.7861858
60,CANON,WAL,SOUTH,CLOSED,35,-121,3842742,719708,05-MAR-11 9:34:18,5,158.9119253
6,CHEST,MIN,NORTH,CLOSED,35,-121,3859063,718542,16-MAR-11 9:22:19,6,223.2241026
68,CIGAR,WAL,SOUTH,CLOSED,35,-121,3841824,719587,05-MAR-11 10:05:40,0,132.196823
15,CLUB,SHN,NORTH,CLOSED,35,-121,3857270,718400,16-MAR-11 10:22:35,4,214.1588196
51,COBBLE,PNO,PURISIMA,CLOSED,35,-121,3850478,716793,08-MAR-11 11:30:48,-2,276.7995665
38,DEADBUG,SAN,NORTH,CLOSED,35,-121,3852719,717540,08-MAR-11 9:53:30,1,132.7742445
107,DISC,SSO,SOUTH,CLOSED,35,-121,3836454,718128,09-MAR-11 14:22:15,1,340.3086834
87,DRIFTWOOD,SNO,SOUTH,CLOSED,35,-121,3838915,718901,05-MAR-11 12:43:03,9,166.693172
