beach,species,survey_week,beach_section_initials,species_2,total,mean_wrack
NORTH,SAND,1/18/2016,MIN,SAND,77,0.083333333
NORTH,SNPL,1/18/2016,MIN,SNPL,15,0.083333333
PURISIMA,SAND,1/18/2016,PNO,SAND,69,0.666666667
PURISIMA,SNPL,1/18/2016,PNO,SNPL,2,0.666666667
NORTH,SAND,1/18/2016,SAN,SAND,63,0.625
NORTH,SNPL,1/18/2016,SAN,SNPL,32,0.625
NORTH,WEGU,1/18/2016,SAN,Gull,5,0.625
NORTH,SAND,1/18/2016,SHN,SAND,112,0
NORTH,SNPL,1/18/2016,SHN,SNPL,3,0
NORTH,WEGU,1/18/2016,SHN,Gull,1,0
NORTH,SAND,1/18/2016,SHS,SAND,67,0.1
NORTH,SNPL,1/18/2016,SHS,SNPL,4,0.1
SOUTH,SAND,1/18/2016,SNO,SAND,196,0.133333333
SOUTH,SNPL,1/18/2016,SNO,SNPL,64,0.133333333
SOUTH,SAND,1/18/2016,SSO,SAND,200,0.25
SOUTH,SNPL,1/18/2016,SSO,SNPL,44,0.25
SOUTH,WEGU,1/18/2016,SSO,Gull,2,0.25
SOUTH,SAND,1/18/2016,WAL,SAND,159,0.538461538
SOUTH,SNPL,1/18/2016,WAL,SNPL,35,0.538461538
NORTH,SAND,1/19/2015,MIN,SAND,332,0.75
NORTH,SNPL,1/19/2015,MIN,SNPL,24,0.75
PURISIMA,SAND,1/19/2015,PNO,SAND,70,1.333333333
PURISIMA,SNPL,1/19/2015,PNO,SNPL,8,1.333333333
NORTH,SAND,1/19/2015,SAN,SAND,168,0.95
NORTH,SNPL,1/19/2015,SAN,SNPL,44,0.95
NORTH,WEGU,1/19/2015,SAN,Gull,4,0.95
NORTH,CAGU,1/19/2015,SHN,Gull,1,1.653846154
NORTH,SAND,1/19/2015,SHN,SAND,1121,1.653846154
NORTH,SAND,1/19/2015,SHS,SAND,1019,1.1
SOUTH,SNPL,1/19/2015,SNO,SNPL,22,2.166666667
SOUTH,SAND,1/19/2015,SSO,SAND,990,2
SOUTH,SNPL,1/19/2015,SSO,SNPL,46,2
SOUTH,CAGU,1/19/2015,WAL,Gull,39,1.615384615
SOUTH,SAND,1/19/2015,WAL,SAND,232,1.615384615
SOUTH,SNPL,1/19/2015,WAL,SNPL,52,1.615384615
SOUTH,WEGU,1/19/2015,WAL,Gull,50,1.615384615
NORTH,CAGU,1/20/2014,MIN,Gull,85,2.166666667
NORTH,HEEG,1/20/2014,MIN,Gull,22,2.166666667
NORTH,WEGU,1/20/2014,MIN,Gull,56,2.166666667
NORTH,CAGU,1/20/2014,SAN,Gull,1,1.3
NORTH,SAND,1/20/2014,SAN,SAND,80,1.3
NORTH,SNPL,1/20/2014,SAN,SNPL,110,1.3
NORTH,WEGU,1/20/2014,SAN,Gull,1,1.3
NORTH,CAGU,1/20/2014,SHN,Gull,151,2.230769231
NORTH,HERG,1/20/2014,SHN,NA,35,2.230769231
NORTH,SNPL,1/20/2014,SHN,SNPL,34,2.230769231
NORTH,WEGU,1/20/2014,SHN,Gull,8,2.230769231
SOUTH,SNPL,1/20/2014,SNO,SNPL,76,1
SOUTH,SAND,1/20/2014,SSO,SAND,304,1.638888889
SOUTH,SNPL,1/20/2014,SSO,SNPL,98,1.638888889
SOUTH,WEGU,1/20/2014,SSO,Gull,1,1.638888889
SOUTH,SAND,1/20/2014,WAL,SAND,14,1.769230769
NORTH,CAGU,1/22/2018,MIN,Gull,1,0.833333333
NORTH,SAND,1/22/2018,MIN,SAND,22,0.833333333
NORTH,SNPL,1/22/2018,MIN,SNPL,4,0.833333333
NORTH,SAND,1/22/2018,SAN,SAND,136,0.325
NORTH,SNPL,1/22/2018,SAN,SNPL,9,0.325
NORTH,WEGU,1/22/2018,SAN,Gull,2,0.325
NORTH,SAND,1/22/2018,SHN,SAND,152,0.692307692
NORTH,SNPL,1/22/2018,SHN,SNPL,24,0.692307692
NORTH,SAND,1/22/2018,SHS,SAND,30,0.25
SOUTH,SAND,1/22/2018,SNO,SAND,170,1.3
SOUTH,SNPL,1/22/2018,SNO,SNPL,36,1.3
SOUTH,SAND,1/22/2018,SSO,SAND,67,1.055555556
SOUTH,SNPL,1/22/2018,SSO,SNPL,23,1.055555556
SOUTH,CAGU,1/22/2018,WAL,Gull,10,1.076923077
SOUTH,HERG,1/22/2018,WAL,NA,6,1.076923077
SOUTH,SAND,1/22/2018,WAL,SAND,101,1.076923077
SOUTH,SNPL,1/22/2018,WAL,SNPL,21,1.076923077
SOUTH,WEGU,1/22/2018,WAL,Gull,6,1.076923077
PURISIMA,SAND,1/23/2017,PNO,SAND,12,0.333333333
PURISIMA,SNPL,1/23/2017,PNO,SNPL,1,0.333333333
NORTH,SAND,1/23/2017,SAN,SAND,46,0.375
NORTH,SNPL,1/23/2017,SAN,SNPL,46,0.375
NORTH,SAND,1/23/2017,SHN,SAND,155,0.653846154
NORTH,SNPL,1/23/2017,SHN,SNPL,1,0.653846154
NORTH,SAND,1/23/2017,SHS,SAND,134,0.7
NORTH,SNPL,1/23/2017,SHS,SNPL,8,0.7
SOUTH,SAND,1/23/2017,SNO,SAND,122,1.133333333
SOUTH,SNPL,1/23/2017,SNO,SNPL,26,1.133333333
SOUTH,WEGU,1/23/2017,SNO,Gull,8,1.133333333
SOUTH,SAND,1/23/2017,SSO,SAND,14,0.777777778
SOUTH,SNPL,1/23/2017,SSO,SNPL,23,0.777777778
SOUTH,CAGU,1/23/2017,WAL,Gull,33,1.153846154
SOUTH,HEEG,1/23/2017,WAL,Gull,5,1.153846154
SOUTH,HERG,1/23/2017,WAL,NA,4,1.153846154
SOUTH,MEGU,1/23/2017,WAL,NA,4,1.153846154
SOUTH,RBGU,1/23/2017,WAL,NA,1,1.153846154
SOUTH,SAND,1/23/2017,WAL,SAND,74,1.153846154
SOUTH,SNPL,1/23/2017,WAL,SNPL,38,1.153846154
SOUTH,WEGU,1/23/2017,WAL,Gull,60,1.153846154
NORTH,SNPL,10/17/2016,MIN,SNPL,4,1.333333333
NORTH,WEGU,10/17/2016,MIN,Gull,3,1.333333333
PURISIMA,SAND,10/17/2016,PNO,SAND,90,0.833333333
NORTH,SAND,10/17/2016,SAN,SAND,278,0.5
NORTH,SNPL,10/17/2016,SAN,SNPL,79,0.5
NORTH,WEGU,10/17/2016,SAN,Gull,3,0.5
NORTH,CAGU,10/17/2016,SHN,Gull,1,1.076923077
NORTH,gull,10/17/2016,SHN,Gull,1,1.076923077
NORTH,SAND,10/17/2016,SHN,SAND,795,1.076923077
NORTH,WEGU,10/17/2016,SHN,Gull,6,1.076923077
NORTH,SAND,10/17/2016,SHS,SAND,23,0.85
NORTH,SNPL,10/17/2016,SHS,SNPL,2,0.85
SOUTH,SAND,10/17/2016,SNO,SAND,225,1.333333333
SOUTH,WEGU,10/17/2016,SNO,Gull,1,1.333333333
SOUTH,CAGU,10/17/2016,SSO,Gull,1,1.25
SOUTH,WEGU,10/17/2016,SSO,Gull,4,1.25
SOUTH,SAND,10/17/2016,WAL,SAND,254,2.576923077
SOUTH,SNPL,10/17/2016,WAL,SNPL,84,2.576923077
NORTH,HEEG,10/19/2015,MIN,Gull,88,1.666666667
NORTH,SAND,10/19/2015,MIN,SAND,170,1.666666667
NORTH,SNPL,10/19/2015,MIN,SNPL,20,1.666666667
NORTH,WEGU,10/19/2015,MIN,Gull,7,1.666666667
PURISIMA,SAND,10/19/2015,PNO,SAND,103,2.666666667
PURISIMA,SNPL,10/19/2015,PNO,SNPL,17,2.666666667
PURISIMA,WEGU,10/19/2015,PNO,Gull,2,2.666666667
NORTH,CAGU,10/19/2015,SAN,Gull,1,1.875
NORTH,HEEG,10/19/2015,SAN,Gull,4,1.875
NORTH,SAND,10/19/2015,SAN,SAND,209,1.875
