beach,species,survey_week,beach_section_initials,species_2,total,mean_wrack
NORTH,SAND,2016-01-18,MIN,SAND,77,0.083333333
NORTH,SNPL,2016-01-18,MIN,SNPL,15,0.083333333
PURISIMA,SAND,2016-01-18,PNO,SAND,69,0.666666667
PURISIMA,SNPL,2016-01-18,PNO,SNPL,2,0.666666667
NORTH,SAND,2016-01-18,SAN,SAND,63,0.625
NORTH,SNPL,2016-01-18,SAN,SNPL,32,0.625
NORTH,WEGU,2016-01-18,SAN,Gull,5,0.625
NORTH,SAND,2016-01-18,SHN,SAND,112,0
NORTH,SNPL,2016-01-18,SHN,SNPL,3,0
NORTH,WEGU,2016-01-18,SHN,Gull,1,0
NORTH,SAND,2016-01-18,SHS,SAND,67,0.1
NORTH,SNPL,2016-01-18,SHS,SNPL,4,0.1
SOUTH,SAND,2016-01-18,SNO,SAND,196,0.133333333
SOUTH,SNPL,2016-01-18,SNO,SNPL,64,0.133333333
SOUTH,SAND,2016-01-18,SSO,SAND,200,0.25
SOUTH,SNPL,2016-01-18,SSO,SNPL,44,0.25
SOUTH,WEGU,2016-01-18,SSO,Gull,2,0.25
SOUTH,SAND,2016-01-18,WAL,SAND,159,0.538461538
SOUTH,SNPL,2016-01-18,WAL,SNPL,35,0.538461538
NORTH,SAND,2015-01-19,MIN,SAND,332,0.75
NORTH,SNPL,2015-01-19,MIN,SNPL,24,0.75
PURISIMA,SAND,2015-01-19,PNO,SAND,70,1.333333333
PURISIMA,SNPL,2015-01-19,PNO,SNPL,8,1.333333333
NORTH,SAND,2015-01-19,SAN,SAND,168,0.95
NORTH,SNPL,2015-01-19,SAN,SNPL,44,0.95
NORTH,WEGU,2015-01-19,SAN,Gull,4,0.95
NORTH,CAGU,2015-01-19,SHN,Gull,1,1.653846154
NORTH,SAND,2015-01-19,SHN,SAND,1121,1.653846154
NORTH,SAND,2015-01-19,SHS,SAND,1019,1.1
SOUTH,SNPL,2015-01-19,SNO,SNPL,22,2.166666667
SOUTH,SAND,2015-01-19,SSO,SAND,990,2
SOUTH,SNPL,2015-01-19,SSO,SNPL,46,2
SOUTH,CAGU,2015-01-19,WAL,Gull,39,1.615384615
SOUTH,SAND,2015-01-19,WAL,SAND,232,1.615384615
SOUTH,SNPL,2015-01-19,WAL,SNPL,52,1.615384615
SOUTH,WEGU,2015-01-19,WAL,Gull,50,1.615384615
NORTH,CAGU,2014-01-20,MIN,Gull,85,2.166666667
NORTH,HEEG,2014-01-20,MIN,Gull,22,2.166666667
NORTH,WEGU,2014-01-20,MIN,Gull,56,2.166666667
NORTH,CAGU,2014-01-20,SAN,Gull,1,1.3
NORTH,SAND,2014-01-20,SAN,SAND,80,1.3
NORTH,SNPL,2014-01-20,SAN,SNPL,110,1.3
NORTH,WEGU,2014-01-20,SAN,Gull,1,1.3
NORTH,CAGU,2014-01-20,SHN,Gull,151,2.230769231
NORTH,HERG,2014-01-20,SHN,NA,35,2.230769231
NORTH,SNPL,2014-01-20,SHN,SNPL,34,2.230769231
NORTH,WEGU,2014-01-20,SHN,Gull,8,2.230769231
SOUTH,SNPL,2014-01-20,SNO,SNPL,76,1
SOUTH,SAND,2014-01-20,SSO,SAND,304,1.638888889
SOUTH,SNPL,2014-01-20,SSO,SNPL,98,1.638888889
SOUTH,WEGU,2014-01-20,SSO,Gull,1,1.638888889
SOUTH,SAND,2014-01-20,WAL,SAND,14,1.769230769
NORTH,CAGU,2018-01-22,MIN,Gull,1,0.833333333
NORTH,SAND,2018-01-22,MIN,SAND,22,0.833333333
NORTH,SNPL,2018-01-22,MIN,SNPL,4,0.833333333
NORTH,SAND,2018-01-22,SAN,SAND,136,0.325
NORTH,SNPL,2018-01-22,SAN,SNPL,9,0.325
NORTH,WEGU,2018-01-22,SAN,Gull,2,0.325
NORTH,SAND,2018-01-22,SHN,SAND,152,0.692307692
NORTH,SNPL,2018-01-22,SHN,SNPL,24,0.692307692
NORTH,SAND,2018-01-22,SHS,SAND,30,0.25
SOUTH,SAND,2018-01-22,SNO,SAND,170,1.3
SOUTH,SNPL,2018-01-22,SNO,SNPL,36,1.3
SOUTH,SAND,2018-01-22,SSO,SAND,67,1.055555556
SOUTH,SNPL,2018-01-22,SSO,SNPL,23,1.055555556
SOUTH,CAGU,2018-01-22,WAL,Gull,10,1.076923077
SOUTH,HERG,2018-01-22,WAL,NA,6,1.076923077
SOUTH,SAND,2018-01-22,WAL,SAND,101,1.076923077
SOUTH,SNPL,2018-01-22,WAL,SNPL,21,1.076923077
SOUTH,WEGU,2018-01-22,WAL,Gull,6,1.076923077
PURISIMA,SAND,2017-01-23,PNO,SAND,12,0.333333333
PURISIMA,SNPL,2017-01-23,PNO,SNPL,1,0.333333333
NORTH,SAND,2017-01-23,SAN,SAND,46,0.375
NORTH,SNPL,2017-01-23,SAN,SNPL,46,0.375
NORTH,SAND,2017-01-23,SHN,SAND,155,0.653846154
NORTH,SNPL,2017-01-23,SHN,SNPL,1,0.653846154
NORTH,SAND,2017-01-23,SHS,SAND,134,0.7
NORTH,SNPL,2017-01-23,SHS,SNPL,8,0.7
SOUTH,SAND,2017-01-23,SNO,SAND,122,1.133333333
SOUTH,SNPL,2017-01-23,SNO,SNPL,26,1.133333333
SOUTH,WEGU,2017-01-23,SNO,Gull,8,1.133333333
SOUTH,SAND,2017-01-23,SSO,SAND,14,0.777777778
SOUTH,SNPL,2017-01-23,SSO,SNPL,23,0.777777778
SOUTH,CAGU,2017-01-23,WAL,Gull,33,1.153846154
SOUTH,HEEG,2017-01-23,WAL,Gull,5,1.153846154
SOUTH,HERG,2017-01-23,WAL,NA,4,1.153846154
SOUTH,MEGU,2017-01-23,WAL,NA,4,1.153846154
SOUTH,RBGU,2017-01-23,WAL,NA,1,1.153846154
SOUTH,SAND,2017-01-23,WAL,SAND,74,1.153846154
SOUTH,SNPL,2017-01-23,WAL,SNPL,38,1.153846154
SOUTH,WEGU,2017-01-23,WAL,Gull,60,1.153846154
NORTH,SNPL,2016-10-17,MIN,SNPL,4,1.333333333
NORTH,WEGU,2016-10-17,MIN,Gull,3,1.333333333
PURISIMA,SAND,2016-10-17,PNO,SAND,90,0.833333333
NORTH,SAND,2016-10-17,SAN,SAND,278,0.5
NORTH,SNPL,2016-10-17,SAN,SNPL,79,0.5
NORTH,WEGU,2016-10-17,SAN,Gull,3,0.5
NORTH,CAGU,2016-10-17,SHN,Gull,1,1.076923077
NORTH,gull,2016-10-17,SHN,Gull,1,1.076923077
NORTH,SAND,2016-10-17,SHN,SAND,795,1.076923077
NORTH,WEGU,2016-10-17,SHN,Gull,6,1.076923077
NORTH,SAND,2016-10-17,SHS,SAND,23,0.85
NORTH,SNPL,2016-10-17,SHS,SNPL,2,0.85
SOUTH,SAND,2016-10-17,SNO,SAND,225,1.333333333
SOUTH,WEGU,2016-10-17,SNO,Gull,1,1.333333333
SOUTH,CAGU,2016-10-17,SSO,Gull,1,1.25
SOUTH,WEGU,2016-10-17,SSO,Gull,4,1.25
SOUTH,SAND,2016-10-17,WAL,SAND,254,2.576923077
SOUTH,SNPL,2016-10-17,WAL,SNPL,84,2.576923077
NORTH,HEEG,2015-10-19,MIN,Gull,88,1.666666667
NORTH,SAND,2015-10-19,MIN,SAND,170,1.666666667
NORTH,SNPL,2015-10-19,MIN,SNPL,20,1.666666667
NORTH,WEGU,2015-10-19,MIN,Gull,7,1.666666667
PURISIMA,SAND,2015-10-19,PNO,SAND,103,2.666666667
PURISIMA,SNPL,2015-10-19,PNO,SNPL,17,2.666666667
PURISIMA,WEGU,2015-10-19,PNO,Gull,2,2.666666667
NORTH,CAGU,2015-10-19,SAN,Gull,1,1.875
NORTH,HEEG,2015-10-19,SAN,Gull,4,1.875
NORTH,SAND,2015-10-19,SAN,SAND,209,1.875
NORTH,SNPL,2015-10-19,SAN,SNPL,52,1.875
NORTH,WEGU,2015-10-19,SAN,Gull,7,1.875
NORTH,CAGU,2015-10-19,SHN,Gull,1,1.384615385
NORTH,HEEG,2015-10-19,SHN,Gull,110,1.384615385
NORTH,SAND,2015-10-19,SHN,SAND,295,1.384615385
NORTH,SNPL,2015-10-19,SHN,SNPL,46,1.384615385
NORTH,WEGU,2015-10-19,SHN,Gull,5,1.384615385
NORTH,CAGU,2015-10-19,SHS,Gull,2,1.3
NORTH,HEEG,2015-10-19,SHS,Gull,4,1.3
NORTH,SAND,2015-10-19,SHS,SAND,225,1.3
NORTH,SNPL,2015-10-19,SHS,SNPL,29,1.3
SOUTH,SAND,2015-10-19,SNO,SAND,41,0.966666667
SOUTH,SNPL,2015-10-19,SNO,SNPL,53,0.966666667
SOUTH,SAND,2015-10-19,SSO,SAND,580,1.361111111
SOUTH,SNPL,2015-10-19,SSO,SNPL,29,1.361111111
SOUTH,SAND,2015-10-19,WAL,SAND,58,1.346153846
SOUTH,SNPL,2015-10-19,WAL,SNPL,75,1.346153846
NORTH,HEEG,2014-10-20,MIN,Gull,270,2.833333333
NORTH,SAND,2014-10-20,MIN,SAND,17,2.833333333
NORTH,SNPL,2014-10-20,MIN,SNPL,1,2.833333333
PURISIMA,SAND,2014-10-20,PNO,SAND,64,2
PURISIMA,SNPL,2014-10-20,PNO,SNPL,12,2
PURISIMA,WEGU,2014-10-20,PNO,Gull,4,2
NORTH,CAGU,2014-10-20,SAN,Gull,76,2.225
NORTH,HEEG,2014-10-20,SAN,Gull,161,2.225
NORTH,SAND,2014-10-20,SAN,SAND,207,2.225
NORTH,SNPL,2014-10-20,SAN,SNPL,10,2.225
NORTH,WEGU,2014-10-20,SAN,Gull,29,2.225
NORTH,CAGU,2014-10-20,SHN,Gull,11,3
NORTH,HEEG,2014-10-20,SHN,Gull,404,3
NORTH,SAND,2014-10-20,SHN,SAND,1634,3
NORTH,SNPL,2014-10-20,SHN,SNPL,45,3
NORTH,CAGU,2014-10-20,SHS,Gull,4,2.35
NORTH,HEEG,2014-10-20,SHS,Gull,341,2.35
NORTH,SAND,2014-10-20,SHS,SAND,885,2.35
NORTH,WEGU,2014-10-20,SHS,Gull,2,2.35
SOUTH,CAGU,2014-10-20,SNO,Gull,1,2.3
SOUTH,SAND,2014-10-20,SNO,SAND,77,2.3
SOUTH,SNPL,2014-10-20,SNO,SNPL,110,2.3
SOUTH,SAND,2014-10-20,SSO,SAND,364,2.361111111
SOUTH,SNPL,2014-10-20,SSO,SNPL,45,2.361111111
SOUTH,WEGU,2014-10-20,SSO,Gull,3,2.361111111
SOUTH,CAGU,2014-10-20,WAL,Gull,25,3.461538462
SOUTH,HEEG,2014-10-20,WAL,Gull,10,3.461538462
SOUTH,SAND,2014-10-20,WAL,SAND,175,3.461538462
SOUTH,SNPL,2014-10-20,WAL,SNPL,27,3.461538462
SOUTH,WEGU,2014-10-20,WAL,Gull,29,3.461538462
NORTH,HEEG,2013-10-21,MIN,Gull,100,2.833333333
PURISIMA,SAND,2013-10-21,PNO,SAND,3,3.5
NORTH,CAGU,2013-10-21,SAN,Gull,3,1.95
NORTH,SAND,2013-10-21,SAN,SAND,1000,1.95
NORTH,SNPL,2013-10-21,SAN,SNPL,14,1.95
NORTH,WEGU,2013-10-21,SAN,Gull,302,1.95
NORTH,SNPL,2013-10-21,SHN,SNPL,51,1.461538462
NORTH,gull,2013-10-21,SHS,Gull,1,1.2
NORTH,SNPL,2013-10-21,SHS,SNPL,25,1.2
NORTH,WEGU,2013-10-21,SHS,Gull,1,1.2
SOUTH,SAND,2013-10-21,SNO,SAND,750,3.5
SOUTH,SNPL,2013-10-21,SNO,SNPL,106,3.5
SOUTH,CAGU,2013-10-21,SSO,Gull,13,2.5
SOUTH,SAND,2013-10-21,SSO,SAND,350,2.5
SOUTH,SNPL,2013-10-21,SSO,SNPL,36,2.5
SOUTH,WEGU,2013-10-21,SSO,Gull,12,2.5
SOUTH,CAGU,2013-10-21,WAL,Gull,20,4.538461538
SOUTH,HEEG,2013-10-21,WAL,Gull,60,4.538461538
SOUTH,RBGU,2013-10-21,WAL,NA,60,4.538461538
SOUTH,WEGU,2013-10-21,WAL,Gull,120,4.538461538
NORTH,SAND,2017-10-09,MIN,SAND,35,0.583333333
NORTH,SNPL,2017-10-09,MIN,SNPL,19,0.583333333
NORTH,WEGU,2017-10-09,MIN,Gull,3,0.583333333
PURISIMA,SAND,2017-10-09,PNO,SAND,7,1.333333333
NORTH,CAGU,2017-10-09,SAN,Gull,3,0.725
NORTH,SAND,2017-10-09,SAN,SAND,401,0.725
NORTH,SNPL,2017-10-09,SAN,SNPL,43,0.725
NORTH,WEGU,2017-10-09,SAN,Gull,14,0.725
NORTH,SAND,2017-10-09,SHN,SAND,218,0.5
NORTH,SNPL,2017-10-09,SHN,SNPL,19,0.5
NORTH,WEGU,2017-10-09,SHN,Gull,4,0.5
NORTH,SAND,2017-10-09,SHS,SAND,147,0.5
NORTH,SNPL,2017-10-09,SHS,SNPL,4,0.5
SOUTH,SAND,2017-10-09,SNO,SAND,181,1
SOUTH,SNPL,2017-10-09,SNO,SNPL,56,1
SOUTH,SAND,2017-10-09,SSO,SAND,10,1.444444444
SOUTH,SNPL,2017-10-09,SSO,SNPL,1,1.444444444
SOUTH,WEGU,2017-10-09,SSO,Gull,10,1.444444444
SOUTH,SAND,2017-10-09,WAL,SAND,114,2.269230769
SOUTH,SNPL,2017-10-09,WAL,SNPL,33,2.269230769
NORTH,HEEG,2013-11-11,MIN,Gull,65,2.416666667
NORTH,WEGU,2013-11-11,MIN,Gull,7,2.416666667
NORTH,HEEG,2013-11-11,SAN,Gull,2,1.4
NORTH,WEGU,2013-11-11,SAN,Gull,50,1.4
NORTH,CAGU,2013-11-11,SHN,Gull,75,2.423076923
NORTH,HEEG,2013-11-11,SHN,Gull,274,2.423076923
NORTH,WEGU,2013-11-11,SHN,Gull,94,2.423076923
NORTH,HEEG,2013-11-11,SHS,Gull,30,1
NORTH,WEGU,2013-11-11,SHS,Gull,2,1
SOUTH,CAGU,2013-11-11,SNO,Gull,6,1.933333333
SOUTH,gull,2013-11-11,SNO,Gull,300,1.933333333
SOUTH,SAND,2013-11-11,SNO,SAND,665,1.933333333
SOUTH,SNPL,2013-11-11,SNO,SNPL,375,1.933333333
SOUTH,WEGU,2013-11-11,SNO,Gull,4,1.933333333
SOUTH,SAND,2013-11-11,SSO,SAND,60,0.194444444
SOUTH,SNPL,2013-11-11,SSO,SNPL,56,0.194444444
SOUTH,SAND,2013-11-11,WAL,SAND,100,2.615384615
SOUTH,SNPL,2013-11-11,WAL,SNPL,42,2.615384615
NORTH,SAND,2017-11-13,MIN,SAND,95,1.666666667
NORTH,SNPL,2017-11-13,MIN,SNPL,14,1.666666667
PURISIMA,SAND,2017-11-13,PNO,SAND,5,2
PURISIMA,SNPL,2017-11-13,PNO,SNPL,1,2
PURISIMA,WEGU,2017-11-13,PNO,Gull,2,2
NORTH,CAGU,2017-11-13,SAN,Gull,25,1.575
NORTH,SAND,2017-11-13,SAN,SAND,158,1.575
NORTH,SNPL,2017-11-13,SAN,SNPL,33,1.575
NORTH,WEGU,2017-11-13,SAN,Gull,26,1.575
NORTH,CAGU,2017-11-13,SHN,Gull,12,1.846153846
NORTH,HEEG,2017-11-13,SHN,Gull,10,1.846153846
NORTH,SAND,2017-11-13,SHN,SAND,125,1.846153846
NORTH,SNPL,2017-11-13,SHN,SNPL,14,1.846153846
NORTH,WEGU,2017-11-13,SHN,Gull,10,1.846153846
NORTH,SAND,2017-11-13,SHS,SAND,97,1.5
NORTH,SNPL,2017-11-13,SHS,SNPL,1,1.5
NORTH,WEGU,2017-11-13,SHS,Gull,1,1.5
SOUTH,SAND,2017-11-13,SNO,SAND,64,1.466666667
SOUTH,SNPL,2017-11-13,SNO,SNPL,54,1.466666667
SOUTH,CAGU,2017-11-13,SSO,Gull,1,0.75
SOUTH,SAND,2017-11-13,SSO,SAND,220,0.75
SOUTH,SNPL,2017-11-13,SSO,SNPL,10,0.75
SOUTH,WEGU,2017-11-13,SSO,Gull,4,0.75
SOUTH,CAGU,2017-11-13,WAL,Gull,40,1.576923077
SOUTH,SAND,2017-11-13,WAL,SAND,18,1.576923077
SOUTH,SNPL,2017-11-13,WAL,SNPL,29,1.576923077
NORTH,CAGU,2015-11-16,MIN,Gull,2,1
NORTH,HEEG,2015-11-16,MIN,Gull,44,1
NORTH,SAND,2015-11-16,MIN,SAND,220,1
NORTH,SNPL,2015-11-16,MIN,SNPL,25,1
NORTH,WEGU,2015-11-16,MIN,Gull,1,1
PURISIMA,SAND,2015-11-16,PNO,SAND,53,0.5
PURISIMA,SNPL,2015-11-16,PNO,SNPL,15,0.5
NORTH,CAGU,2015-11-16,SAN,Gull,2,0.25
NORTH,SAND,2015-11-16,SAN,SAND,57,0.25
NORTH,SNPL,2015-11-16,SAN,SNPL,47,0.25
NORTH,WEGU,2015-11-16,SAN,Gull,18,0.25
NORTH,HEEG,2015-11-16,SHN,Gull,1,0.384615385
NORTH,SAND,2015-11-16,SHN,SAND,64,0.384615385
NORTH,SNPL,2015-11-16,SHN,SNPL,20,0.384615385
NORTH,WEGU,2015-11-16,SHN,Gull,1,0.384615385
NORTH,SAND,2015-11-16,SHS,SAND,77,0
NORTH,SNPL,2015-11-16,SHS,SNPL,24,0
NORTH,WEGU,2015-11-16,SHS,Gull,1,0
SOUTH,SAND,2015-11-16,SNO,SAND,27,1.066666667
SOUTH,SNPL,2015-11-16,SNO,SNPL,38,1.066666667
SOUTH,SAND,2015-11-16,SSO,SAND,121,0.805555556
SOUTH,SNPL,2015-11-16,SSO,SNPL,43,0.805555556
SOUTH,WEGU,2015-11-16,SSO,Gull,1,0.805555556
SOUTH,SAND,2015-11-16,WAL,SAND,42,0.961538462
SOUTH,SNPL,2015-11-16,WAL,SNPL,21,0.961538462
SOUTH,WEGU,2015-11-16,WAL,Gull,1,0.961538462
NORTH,CAGU,2014-11-24,MIN,Gull,5,1.916666667
NORTH,HEEG,2014-11-24,MIN,Gull,210,1.916666667
NORTH,SNPL,2014-11-24,MIN,SNPL,7,1.916666667
NORTH,WEGU,2014-11-24,MIN,Gull,3,1.916666667
PURISIMA,SAND,2014-11-24,PNO,SAND,80,3
PURISIMA,SNPL,2014-11-24,PNO,SNPL,7,3
NORTH,CAGU,2014-11-24,SAN,Gull,151,1.333333333
NORTH,HEEG,2014-11-24,SAN,Gull,89,1.333333333
NORTH,HERG,2014-11-24,SAN,NA,4,1.333333333
NORTH,SAND,2014-11-24,SAN,SAND,330,1.333333333
NORTH,SNPL,2014-11-24,SAN,SNPL,26,1.333333333
NORTH,WEGU,2014-11-24,SAN,Gull,11,1.333333333
NORTH,CAGU,2014-11-24,SHN,Gull,46,1.807692308
NORTH,gull,2014-11-24,SHN,Gull,5,1.807692308
NORTH,HEEG,2014-11-24,SHN,Gull,735,1.807692308
NORTH,SAND,2014-11-24,SHN,SAND,1500,1.807692308
NORTH,SNPL,2014-11-24,SHN,SNPL,1,1.807692308
NORTH,WEGU,2014-11-24,SHN,Gull,10,1.807692308
NORTH,CAGU,2014-11-24,SHS,Gull,18,1.55
NORTH,SAND,2014-11-24,SHS,SAND,1901,1.55
NORTH,SNPL,2014-11-24,SHS,SNPL,48,1.55
SOUTH,SAND,2014-11-24,SNO,SAND,7,2.2
SOUTH,SNPL,2014-11-24,SNO,SNPL,70,2.2
SOUTH,SAND,2014-11-24,SSO,SAND,120,1.944444444
SOUTH,SNPL,2014-11-24,SSO,SNPL,44,1.944444444
SOUTH,SAND,2014-11-24,WAL,SAND,63,2.153846154
SOUTH,SNPL,2014-11-24,WAL,SNPL,42,2.153846154
SOUTH,WEGU,2014-11-24,WAL,Gull,1,2.153846154
NORTH,SNPL,2016-11-28,MIN,SNPL,7,0.75
NORTH,WEGU,2016-11-28,MIN,Gull,1,0.75
PURISIMA,SAND,2016-11-28,PNO,SAND,15,1
NORTH,SAND,2016-11-28,SAN,SAND,81,1
NORTH,SNPL,2016-11-28,SAN,SNPL,19,1
NORTH,WEGU,2016-11-28,SAN,Gull,8,1
NORTH,SAND,2016-11-28,SHN,SAND,131,0.769230769
NORTH,SNPL,2016-11-28,SHN,SNPL,2,0.769230769
NORTH,SAND,2016-11-28,SHS,SAND,75,0.45
NORTH,SNPL,2016-11-28,SHS,SNPL,15,0.45
SOUTH,SAND,2016-11-28,SNO,SAND,355,0.933333333
SOUTH,SNPL,2016-11-28,SNO,SNPL,48,0.933333333
SOUTH,SNPL,2016-11-28,SSO,SNPL,22,1.277777778
SOUTH,SNPL,2016-11-28,WAL,SNPL,20,1.192307692
NORTH,SAND,2015-12-14,MIN,SAND,3,0.833333333
NORTH,SNPL,2015-12-14,MIN,SNPL,13,0.833333333
NORTH,WEGU,2015-12-14,MIN,Gull,1,0.833333333
PURISIMA,SAND,2015-12-14,PNO,SAND,8,0.666666667
PURISIMA,SNPL,2015-12-14,PNO,SNPL,4,0.666666667
NORTH,CAGU,2015-12-14,SAN,Gull,7,1.6
NORTH,HERG,2015-12-14,SAN,NA,1,1.6
NORTH,SAND,2015-12-14,SAN,SAND,54,1.6
NORTH,SNPL,2015-12-14,SAN,SNPL,53,1.6
NORTH,WEGU,2015-12-14,SAN,Gull,12,1.6
NORTH,SAND,2015-12-14,SHN,SAND,21,1.5
NORTH,SNPL,2015-12-14,SHN,SNPL,20,1.5
NORTH,SAND,2015-12-14,SHS,SAND,22,1.55
NORTH,SNPL,2015-12-14,SHS,SNPL,19,1.55
SOUTH,SAND,2015-12-14,SNO,SAND,11,1
SOUTH,SNPL,2015-12-14,SNO,SNPL,26,1
SOUTH,SAND,2015-12-14,SSO,SAND,142,1.222222222
SOUTH,SNPL,2015-12-14,SSO,SNPL,26,1.222222222
SOUTH,CAGU,2015-12-14,WAL,Gull,70,1.461538462
SOUTH,SAND,2015-12-14,WAL,SAND,37,1.461538462
SOUTH,SNPL,2015-12-14,WAL,SNPL,26,1.461538462
SOUTH,WEGU,2015-12-14,WAL,Gull,11,1.461538462
SOUTH,SAND,2014-12-15,SNO,SAND,1,1.133333333
SOUTH,SNPL,2014-12-15,SNO,SNPL,89,1.133333333
SOUTH,SNPL,2014-12-15,SSO,SNPL,54,0.75
SOUTH,WEGU,2014-12-15,SSO,Gull,1,0.75
SOUTH,CAGU,2014-12-15,WAL,Gull,60,1.769230769
SOUTH,SNPL,2014-12-15,WAL,SNPL,3,1.769230769
SOUTH,WEGU,2014-12-15,WAL,Gull,40,1.769230769
NORTH,CAGU,2017-12-18,MIN,Gull,1,1.166666667
NORTH,SAND,2017-12-18,MIN,SAND,29,1.166666667
NORTH,SNPL,2017-12-18,MIN,SNPL,22,1.166666667
NORTH,WEGU,2017-12-18,MIN,Gull,1,1.166666667
PURISIMA,SAND,2017-12-18,PNO,SAND,4,0.75
NORTH,CAGU,2017-12-18,SAN,Gull,1,0.3
NORTH,SAND,2017-12-18,SAN,SAND,50,0.3
NORTH,SNPL,2017-12-18,SAN,SNPL,37,0.3
NORTH,WEGU,2017-12-18,SAN,Gull,9,0.3
NORTH,SAND,2017-12-18,SHN,SAND,53,0.884615385
NORTH,SNPL,2017-12-18,SHN,SNPL,22,0.884615385
NORTH,SAND,2017-12-18,SHS,SAND,54,0.65
NORTH,SNPL,2017-12-18,SHS,SNPL,13,0.65
SOUTH,SAND,2017-12-18,SNO,SAND,31,0.533333333
SOUTH,SNPL,2017-12-18,SNO,SNPL,32,0.533333333
