survey_week,beach_section_initials,mean
3/12/2012,MIN,1.5
3/12/2012,PNO,0
3/12/2012,SAN,1.275
3/12/2012,SHN,1.923076923
3/12/2012,SHS,1.7
3/12/2012,SNO,1.866666667
3/12/2012,SSO,1.735294118
3/12/2012,WAL,1.461538462
3/19/2012,MIN,1.5
3/19/2012,PNO,0
3/19/2012,SAN,1.05
3/19/2012,SHN,1.961538462
3/19/2012,SHS,1.65
3/19/2012,SNO,1.722222222
3/19/2012,SSO,2.352941176
3/19/2012,WAL,2.75
3/26/2012,MIN,1.5
3/26/2012,PNO,1.833333333
3/26/2012,SAN,1.325
3/26/2012,SHN,1.730769231
3/26/2012,SHS,1.6
3/26/2012,SNO,1.5
3/26/2012,SSO,1.527777778
3/26/2012,WAL,1.125
4/2/2012,MIN,0.916666667
4/2/2012,SAN,1
4/2/2012,SHS,2
4/9/2012,PNO,1
4/9/2012,SAN,1.8
4/9/2012,SNO,1.266666667
4/9/2012,SSO,1.888888889
4/9/2012,WAL,1.153846154
4/16/2012,MIN,1.583333333
4/16/2012,PNO,1.5
4/16/2012,SAN,1.075
4/16/2012,SHN,1.538461538
4/16/2012,SHS,1.3
4/16/2012,SNO,2.033333333
4/16/2012,SSO,1.555555556
4/16/2012,WAL,1.538461538
4/23/2012,MIN,0.928571429
4/23/2012,SHN,1.166666667
4/23/2012,WAL,1.041666667
4/30/2012,MIN,1.5
4/30/2012,SAN,1.1
4/30/2012,SHN,1.192307692
4/30/2012,SHS,0.85
4/30/2012,SNO,2.566666667
4/30/2012,SSO,1.333333333
4/30/2012,WAL,2
5/7/2012,MIN,1.416666667
5/7/2012,PNO,1.5
5/7/2012,SAN,1.25
5/7/2012,SHN,1.846153846
5/7/2012,SHS,1.15
5/7/2012,SNO,2.733333333
5/7/2012,SSO,2.194444444
5/7/2012,WAL,2.923076923
5/14/2012,MIN,1.083333333
5/14/2012,PNO,1.25
5/14/2012,SAN,1.5
5/14/2012,SHN,1.076923077
5/14/2012,SHS,0.6
5/14/2012,WAL,2.454545455
5/21/2012,MIN,1.25
5/21/2012,PNO,2
5/21/2012,SAN,0.925
5/21/2012,SHN,1.076923077
5/21/2012,SHS,0.85
5/21/2012,SNO,2.133333333
5/21/2012,SSO,1.777777778
5/21/2012,WAL,3.076923077
5/28/2012,SNO,2.6
5/28/2012,SSO,1.944444444
5/28/2012,WAL,3.230769231
6/4/2012,MIN,1.666666667
6/4/2012,PNO,1
6/4/2012,SAN,1.125
6/4/2012,SHN,1.307692308
6/4/2012,SHS,0.65
6/11/2012,MIN,3
6/11/2012,PNO,2.333333333
6/11/2012,SAN,2
6/11/2012,SHN,2.846153846
6/11/2012,SHS,2.4
6/11/2012,SNO,2.2
6/11/2012,SSO,1.777777778
6/11/2012,WAL,2.923076923
6/18/2012,MIN,2.583333333
6/18/2012,PNO,2.333333333
6/18/2012,SAN,1.35
6/18/2012,SHN,2.653846154
6/18/2012,SHS,1.6
