survey_week,transect_block,y_proj,x_proj,species,count
4/11/2011,WILLOW,3842872,719716,WESA,4
4/11/2011,WALL OPEN,3843549,719601,SEPL,2
4/11/2011,WALLBORDER,3843076,719727,SEPL,3
5/9/2011,BOTTLELOG,3854218,717859,BBPL,1
5/9/2011,BUOYFARM,3855633,718084,BBPL,10
5/9/2011,SHSSTART,3856007,718184,BBPL,5
5/9/2011,MINBORDER,3859611,718496,gull,2
5/9/2011,MINOPEN,3860002,718408,gull,12
5/9/2011,PIXIE,3857838,718485,OSPR,1
5/9/2011,BOB,3856428,718233,peeps,100
5/9/2011,BOTTLELOG,3854218,717859,peeps,80
5/9/2011,CHEST,3859063,718542,peeps,300
5/9/2011,CLUB,3857270,718400,peeps,200
5/9/2011,HOOF,3857060,718358,peeps,100
5/9/2011,MINIDUMP,3855178,718020,peeps,50
5/9/2011,MINOPEN,3860002,718408,peeps,200
5/9/2011,OJ,3854912,717972,peeps,100
5/9/2011,PILLOW,3857398,718416,peeps,200
5/9/2011,PIXIE,3857838,718485,peeps,300
5/9/2011,RUPAUL,3855357,718047,peeps,400
5/9/2011,SCAFFOLDING,3858038,718508,peeps,50
5/9/2011,SEADRAGON,3857556,718440,peeps,100
5/9/2011,SHSSTART,3856007,718184,peeps,400
5/9/2011,TIRE,3856840,718299,peeps,50
5/9/2011,TRILOG,3853967,717804,peeps,20
5/9/2011,OJ,3854912,717972,RTHA,1
5/9/2011,BOTTLEBUOY,3854682,717928,SAND,1
5/9/2011,BUOYFARM,3855633,718084,SAND,1
5/9/2011,BOTTLEBUOY,3854682,717928,SEPL,1
5/9/2011,OJ,3854912,717972,SEPL,1
5/9/2011,SCAFFOLDING,3858038,718508,SEPL,3
5/9/2011,BOTTLELOG,3854218,717859,WHIM,20
5/9/2011,MINOPEN,3860002,718408,WHIM,70
5/16/2011,TREX,3853022,717614,KILL,1
5/16/2011,MINOPEN,3860002,718408,NOHA,1
5/16/2011,TEETER,3852589,717513,peeps,60
5/16/2011,ELEPHGRAVE,3852313,717442,SAND,5
5/30/2011,KNOT,3842471,719667,gull,3
6/6/2011,ALLIGATOR,3859179,718531,gull,15
6/6/2011,ANCHOR,3858840,718532,gull,40
6/6/2011,BOB,3856428,718233,gull,15
6/6/2011,BOINGI,3858235,718523,gull,1
6/6/2011,BOTTLEBUOY,3854682,717928,gull,10
6/6/2011,BOTTLELOG,3854218,717859,gull,5
6/6/2011,BUOYFARM,3855633,718084,gull,10
6/6/2011,CLUB,3857270,718400,gull,5
6/6/2011,HOOF,3857060,718358,gull,10
6/6/2011,MINBORDER,3859611,718496,gull,7
6/6/2011,MINIDUMP,3855178,718020,gull,5
6/6/2011,MINOPEN,3860002,718408,gull,25
6/6/2011,MOLE,3854435,717887,gull,30
6/6/2011,NEEDLE,3858391,718537,gull,26
6/6/2011,OJ,3854912,717972,gull,10
6/6/2011,PILLOW,3857398,718416,gull,5
6/6/2011,PIXIE,3857838,718485,gull,35
6/6/2011,RAINBOWSPIN,3855802,718134,gull,15
6/6/2011,ROLLINGROCK,3856186,718202,gull,25
6/6/2011,RUPAUL,3855357,718047,gull,3
6/6/2011,SCAFFOLDING,3858038,718508,gull,45
6/6/2011,SEADRAGON,3857556,718440,gull,20
6/6/2011,SHCREEK,3858576,718559,gull,20
6/6/2011,SHSSTART,3856007,718184,gull,30
6/6/2011,THIRSTY,3856625,718262,gull,20
6/6/2011,TIRE,3856840,718299,gull,40
6/6/2011,TRILOG,3853967,717804,gull,1
6/6/2011,TUVU,3859327,718516,gull,5
6/6/2011,NEEDLE,3858391,718537,NOHA,1
6/6/2011,ALLIGATOR,3859179,718531,WHIM,5
6/6/2011,ANCHOR,3858840,718532,WHIM,5
6/6/2011,CLUB,3857270,718400,WHIM,5
6/6/2011,HOOF,3857060,718358,WHIM,30
6/6/2011,NEEDLE,3858391,718537,WHIM,8
6/6/2011,SCAFFOLDING,3858038,718508,WHIM,4
6/6/2011,SEADRAGON,3857556,718440,WHIM,30
6/6/2011,SHCREEK,3858576,718559,WHIM,6
6/6/2011,THIRSTY,3856625,718262,WHIM,4
6/6/2011,TIRE,3856840,718299,WHIM,5
6/6/2011,BOAT,3851145,717049,gull,14
6/6/2011,SHSEND,3853725,717760,gull,5
6/13/2011,AMPHITHEATRE,3837016,718345,gull,1
6/13/2011,DISC,3836454,718128,gull,15
6/13/2011,ICELAVA,3836738,718243,gull,1
6/13/2011,ICELAVA,3836738,718243,gull,3
6/13/2011,NSURFOPEN,3840670,719336,gull,30
6/13/2011,SSURFCLOSED,3839952,719184,gull,1
6/13/2011,STUMP,3838531,718776,gull,1
6/13/2011,TIP,3841507,719554,gull,10
6/13/2011,CANON,3842742,719708,WEGU,5
6/13/2011,WALL OPEN,3843549,719601,WEGU,13
6/13/2011,WALLBORDER,3843076,719727,WEGU,2
6/13/2011,MINBORDER,3859611,718496,CAGU,2
6/13/2011,BOB,3856428,718233,gull,10
6/13/2011,BOINGI,3858235,718523,gull,100
6/13/2011,BOTTLEBUOY,3854682,717928,gull,2
6/13/2011,BOTTLELOG,3854218,717859,gull,20
6/13/2011,BUOYFARM,3855633,718084,gull,8
6/13/2011,MINIDUMP,3855178,718020,gull,30
6/13/2011,MINOPEN,3860002,718408,gull,100
6/13/2011,MOLE,3854435,717887,gull,25
6/13/2011,OJ,3854912,717972,gull,4
6/13/2011,PILLOW,3857398,718416,gull,10
6/13/2011,RAINBOWSPIN,3855802,718134,gull,6
6/13/2011,ROLLINGROCK,3856186,718202,gull,10
6/13/2011,RUPAUL,3855357,718047,gull,4
6/13/2011,SHSSTART,3856007,718184,gull,20
6/13/2011,THIRSTY,3856625,718262,gull,35
6/13/2011,TIRE,3856840,718299,gull,40
6/13/2011,TRILOG,3853967,717804,gull,1
6/13/2011,SEADRAGON,3857556,718440,PEFA,1
6/13/2011,CLUB,3857270,718400,RBGU,3
6/13/2011,HOOF,3857060,718358,RBGU,1
6/13/2011,MINBORDER,3859611,718496,WEGU,2
