transect_block,y_proj,x_proj
4303BUOY,3837695,718544
ALLIGATOR,3859179,718531
AMPHITHEATRE,3837016,718345
ANCHOR,3858840,718532
ARROWHEAD,3853514,717685
BEACH FUZZ,3842584,719691
BOAT,3851145,717049
BOB,3856428,718233
BOINGI,3858235,718523
BOJUM,3841017,719410
BORDER TRAIL,3838755,718855
BOTTLEBUOY,3854682,717928
BOTTLELOG,3854218,717859
BOWL,3841694,719611
BUOY,3840890,719390
BUOYFARM,3855633,718084
CAMP,3837926,718608
CANON,3842742,719708
CHEST,3859063,718542
CIGAR,3841824,719587
CLUB,3857270,718400
COBBLE,3850478,716793
DEADBUG,3852719,717540
DISC,3836454,718128
DRIFTWOOD,3838915,718901
DROOP,3839144,718961
ELEPHANTSEAL,3838186,718662
ELEPHGRAVE,3852313,717442
ENDCOVE,3836133,718015
FINGER,3837396,718449
FORK,3841223,719460
FORT,3839499,719045
GEEK,3852870,717582
GRANDCANYON,3837280,718417
GROSS,3851508,717163
HOOF,3857060,718358
ICELAVA,3836738,718243
JUGHEAD,3852069,717348
KNOT,3842471,719667
L13BUOY,3853403,717662
LEG,3842340,719645
LOUNGE,3842113,719617
METEOR,3838680,718812
MINBORDER,3859611,718496
MINIDUMP,3855178,718020
MINOPEN,3860002,718408
MOLE,3854435,717887
NARROWS,3850988,717008
NEEDLE,3858391,718537
NICEPERCH,3853294,717626
NSURFOPEN,3840670,719336
OBVIOUSLOG,3837828,718577
OJ,3854912,717972
PAINT,3839628,719086
PEBBLE,3838422,718754
PICKUPSTIX,3851788,717252
PILE,3841380,719512
PILLOW,3857398,718416
PIXIE,3857838,718485
POCKET1,3850211,716720
POCKET2,3849377,716466
PTRASH,3839358,719017
PURISIMACOL,3848600,716531
PURISIMANORTH,3849000,716365
RAINBOWSPIN,3855802,718134
ROCKBLUE,3837587,718491
ROLLINGROCK,3856186,718202
RUPAUL,3855357,718047
SCAFFOLDING,3858038,718508
SEADRAGON,3857556,718440
SHCREEK,3858576,718559
SHORTRIBS,3852446,717489
SHSEND,3853725,717760
SHSSTART,3856007,718184
SIGN,3839745,719129
SPLITLOG,3841901,719604
SQUID,3838317,718718
SSURFCLOSED,3839952,719184
STIX,3852211,717408
STOOL,3839242,718987
STUMP,3838531,718776
TEETER,3852589,717513
THIRSTY,3856625,718262
TIKI,3841635,719574
TIP,3841507,719554
TIRE,3856840,718299
TOMBSTONE,3853154,717631
TOTEM,3841109,719431
TP,3842238,719648
TRASH,3851930,717290
TREX,3853022,717614
TRILOG,3853967,717804
TURTLE,3851316,717091
TUVU,3859327,718516
UTAH,3836881,718289
WALL OPEN,3843549,719601
WALLBORDER,3843076,719727
WILLOW,3842872,719716
WISHBONE,3851637,717206
WITCH,3838088,718652
