survey_week,beach_section_initials,beach,species,species_type,total,sp_2
2011-02-28,SAN,NORTH,SNPL,Shorebird,58,SNPL
2011-02-28,SNO,SOUTH,SNPL,Shorebird,171,SNPL
2011-02-28,SSO,SOUTH,SNPL,Shorebird,152,SNPL
2011-02-28,WAL,SOUTH,SNPL,Shorebird,359,SNPL
2011-03-07,SNO,SOUTH,SNPL,Shorebird,52,SNPL
2011-03-07,SSO,SOUTH,SNPL,Shorebird,16,SNPL
2011-03-07,WAL,SOUTH,SNPL,Shorebird,28,SNPL
2011-04-11,SNO,SOUTH,SNPL,Shorebird,3,SNPL
2011-04-11,WAL,SOUTH,SNPL,Shorebird,44,SNPL
2011-05-09,MIN,NORTH,SNPL,Shorebird,5,SNPL
2011-05-09,SAN,NORTH,SNPL,Shorebird,71,SNPL
2011-05-09,SHN,NORTH,SNPL,Shorebird,20,SNPL
2011-05-09,SHS,NORTH,SAND,Shorebird,2,SAND
2011-05-09,SHS,NORTH,SNPL,Shorebird,11,SNPL
2011-05-09,SNO,SOUTH,SNPL,Shorebird,49,SNPL
2011-05-09,SSO,SOUTH,SNPL,Shorebird,28,SNPL
2011-05-09,WAL,SOUTH,SNPL,Shorebird,23,SNPL
2011-05-16,SAN,NORTH,SAND,Shorebird,5,SAND
2011-05-16,SAN,NORTH,SNPL,Shorebird,79,SNPL
2011-05-16,SHN,NORTH,SNPL,Shorebird,23,SNPL
2011-05-16,SHS,NORTH,SNPL,Shorebird,15,SNPL
2011-05-16,SNO,SOUTH,SNPL,Shorebird,59,SNPL
2011-05-16,SSO,SOUTH,SNPL,Shorebird,25,SNPL
2011-05-16,WAL,SOUTH,SNPL,Shorebird,30,SNPL
2011-05-30,SAN,NORTH,SNPL,Shorebird,35,SNPL
2011-05-30,SNO,SOUTH,SNPL,Shorebird,62,SNPL
2011-05-30,SSO,SOUTH,SNPL,Shorebird,35,SNPL
2011-05-30,WAL,SOUTH,SNPL,Shorebird,32,SNPL
2011-06-06,MIN,NORTH,SNPL,Shorebird,7,SNPL
2011-06-06,SAN,NORTH,SNPL,Shorebird,69,SNPL
2011-06-06,SHN,NORTH,SNPL,Shorebird,21,SNPL
2011-06-06,SHS,NORTH,SNPL,Shorebird,11,SNPL
2011-06-06,SNO,SOUTH,SNPL,Shorebird,45,SNPL
2011-06-06,SSO,SOUTH,SNPL,Shorebird,40,SNPL
2011-06-06,WAL,SOUTH,SNPL,Shorebird,38,SNPL
2011-06-13,MIN,NORTH,CAGU,Gull,2,Gull
2011-06-13,MIN,NORTH,SNPL,Shorebird,3,SNPL
2011-06-13,MIN,NORTH,WEGU,Gull,2,Gull
2011-06-13,SHN,NORTH,SNPL,Shorebird,18,SNPL
2011-06-13,SHN,NORTH,WEGU,Gull,60,Gull
2011-06-13,SHS,NORTH,SNPL,Shorebird,5,SNPL
2011-06-13,SNO,SOUTH,SNPL,Shorebird,68,SNPL
2011-06-13,SSO,SOUTH,SNPL,Shorebird,48,SNPL
2011-06-13,WAL,SOUTH,SNPL,Shorebird,59,SNPL
2011-06-13,WAL,SOUTH,WEGU,Gull,20,Gull
2011-06-20,MIN,NORTH,HEEG,Gull,80,Gull
