Survey Date,Monitor Initials,Transect Block,Species,SpeciesName,SpeciesType,Count,Mixed Flock,Sex,Age,Behavior,Notes,Proofed
13-Aug-15,ELR,BOWL,AMAV,American Avocet,Shorebird,1,FALSE,Unk,Unk,Unk,,TRUE
1-Aug-16,ELR,BOWL,AMAV,American Avocet,Shorebird,1,FALSE,Unk,Unk,Unk,,TRUE
18-Dec-17,JKM,TIKI,AMAV,American Avocet,Shorebird,1,FALSE,Unk,Unk,Unk,,TRUE
18-Dec-17,JKM,BOWL,AMAV,American Avocet,Shorebird,6,FALSE,Unk,Unk,Unk,,TRUE
5-Sep-18,LAH,BEACH FUZZ,AMKE,American Kestrel,Raptor,1,FALSE,Unk,Unk,Unk,,TRUE
13-Nov-13,RBB,BORDER TRAIL,AMKE,American Kestrel,Raptor,1,FALSE,Unk,Unk,Forage,,TRUE
19-Sep-17,LAH,BORDER TRAIL,AMKE,American Kestrel,Raptor,1,FALSE,Unk,Unk,Flying,,TRUE
24-Aug-18,JKM,BUOY,AMKE,American Kestrel,Raptor,1,FALSE,Unk,Unk,Unk,,TRUE
23-Mar-18,JKM,CANON,AMKE,American Kestrel,Raptor,1,FALSE,Unk,Unk,Flying,,TRUE
9-Jul-15,ELR,CHEST,AMKE,American Kestrel,Raptor,1,FALSE,Unk,Unk,Unk,,TRUE
3-Mar-16,JLH,CIGAR,AMKE,American Kestrel,Raptor,1,FALSE,F,Adult,Perch,,TRUE
5-May-15,LAH,COBBLE,AMKE,American Kestrel,Raptor,1,FALSE,Unk,Unk,Unk,,TRUE
13-Sep-17,LAH,COBBLE,AMKE,American Kestrel,Raptor,1,FALSE,Unk,Unk,Perch,,TRUE
16-Aug-18,ELR,ENDCOVE,AMKE,American Kestrel,Raptor,1,FALSE,Unk,Unk,Unk,,TRUE
2-May-18,JKM,FORK,AMKE,American Kestrel,Raptor,1,FALSE,Unk,Unk,Unk,,TRUE
3-Aug-16,ELR,JUGHEAD,AMKE,American Kestrel,Raptor,1,FALSE,Unk,Unk,Unk,,TRUE
17-Dec-15,ELR,NSURFOPEN,AMKE,American Kestrel,Raptor,1,FALSE,Unk,Unk,Unk,,TRUE
20-Feb-18,JKM,NSURFOPEN,amke,American Kestrel,Raptor,1,FALSE,,,,,FALSE
22-Jun-18,JKM,NSURFOPEN,AMKE,American Kestrel,Raptor,1,FALSE,F,Adult,Unk,,FALSE
13-Feb-14,RBB,PEBBLE,AMKE,American Kestrel,Raptor,1,FALSE,Unk,Unk,Unk,,TRUE
20-Jan-16,JKM,PILE,AMKE,American Kestrel,Raptor,1,FALSE,M,Unk,Perch,,TRUE
16-Feb-16,LAH,PILE,AMKE,American Kestrel,Raptor,1,FALSE,Unk,Unk,Perch,,TRUE
22-Jun-18,JKM,PILE,AMKE,American Kestrel,Raptor,1,FALSE,M,Adult,Unk,,FALSE
5-Jul-18,JKM,POCKET2,AMKE,American Kestrel,Raptor,1,FALSE,M,Adult,Unk,,TRUE
5-May-15,LAH,PURISIMACOL,AMKE,American Kestrel,Raptor,1,FALSE,Unk,Unk,Forage,,TRUE
19-Apr-16,JKM,PURISIMACOL,AMKE,American Kestrel,Raptor,1,FALSE,M,Adult,Flying,,TRUE
10-Sep-18,JKM,RUPAUL,AMKE,American Kestrel,Raptor,1,FALSE,Unk,Unk,Unk,,TRUE
17-Oct-18,ELR,SHSEND,AMKE,American Kestrel,Raptor,1,FALSE,Unk,Unk,Unk,,FALSE
19-Sep-18,ELR,SQUID,AMKE,American Kestrel,Raptor,1,FALSE,Unk,Unk,Unk,,TRUE
16-Feb-16,LAH,TOTEM,AMKE,American Kestrel,Raptor,1,FALSE,F,Adult,Flying,,TRUE
13-Nov-13,JKM,WISHBONE,AMKE,American Kestrel,Raptor,1,FALSE,Unk,Unk,Unk,,FALSE
