ID,Survey Date,Monitor Initials,Transect Block,Species,Count,Mixed Flock,Sex,Age,Behavior,Notes,
25,4/14/2011,RBB,WILLOW,WESA,4,FALSE,U,U,unknown,,
1,4/16/2011,TRC,WALL OPEN,SEPL,2,FALSE,U,U,unknown,,
3,4/16/2011,TRC,WALLBORDER,SEPL,3,FALSE,U,U,unknown,,
65,5/11/2011,TRC,BOTTLELOG,BBPL,1,FALSE,U,U,unknown,,
59,5/11/2011,TRC,BUOYFARM,BBPL,10,FALSE,U,U,unknown,,
57,5/11/2011,TRC,SHSSTART,BBPL,5,FALSE,U,U,unknown,,
39,5/11/2011,TRC,MINBORDER,gull,2,FALSE,U,U,unknown,,
38,5/11/2011,TRC,MINOPEN,gull,12,FALSE,U,U,unknown,,
48,5/11/2011,TRC,PIXIE,OSPR,1,FALSE,U,U,flying,,
55,5/11/2011,TRC,BOB,peeps,100,FALSE,U,U,unknown,,
65,5/11/2011,TRC,BOTTLELOG,peeps,80,FALSE,U,U,unknown,,
42,5/11/2011,TRC,CHEST,peeps,300,FALSE,U,U,unknown,,
51,5/11/2011,TRC,CLUB,peeps,200,FALSE,U,U,unknown,,
52,5/11/2011,TRC,HOOF,peeps,100,FALSE,U,U,unknown,,
61,5/11/2011,TRC,MINIDUMP,peeps,50,FALSE,U,U,unknown,,
38,5/11/2011,TRC,MINOPEN,peeps,200,FALSE,U,U,unknown,,
62,5/11/2011,TRC,OJ,peeps,100,FALSE,U,U,unknown,,
50,5/11/2011,TRC,PILLOW,peeps,200,FALSE,U,U,unknown,,
48,5/11/2011,TRC,PIXIE,peeps,300,FALSE,U,U,unknown,,
60,5/11/2011,TRC,RUPAUL,peeps,400,FALSE,U,U,unknown,,
47,5/11/2011,TRC,SCAFFOLDING,peeps,50,FALSE,U,U,unknown,,
49,5/11/2011,TRC,SEADRAGON,peeps,100,FALSE,U,U,unknown,,
57,5/11/2011,TRC,SHSSTART,peeps,400,FALSE,U,U,unknown,,
53,5/11/2011,TRC,TIRE,peeps,50,FALSE,U,U,unknown,,
66,5/11/2011,TRC,TRILOG,peeps,20,FALSE,U,U,unknown,,
62,5/11/2011,TRC,OJ,RTHA,1,FALSE,U,A,flying,,
63,5/11/2011,TRC,BOTTLEBUOY,SAND,1,FALSE,U,U,unknown,,
59,5/11/2011,TRC,BUOYFARM,SAND,1,FALSE,U,U,unknown,,
63,5/11/2011,TRC,BOTTLEBUOY,SEPL,1,FALSE,U,U,unknown,,
62,5/11/2011,TRC,OJ,SEPL,1,FALSE,U,U,unknown,,
47,5/11/2011,TRC,SCAFFOLDING,SEPL,3,FALSE,U,U,unknown,,
65,5/11/2011,TRC,BOTTLELOG,WHIM,20,FALSE,U,U,unknown,,
38,5/11/2011,TRC,MINOPEN,WHIM,70,FALSE,U,U,unknown,,
126,5/20/2011,TRC,TREX,KILL,1,FALSE,U,U,unknown,,
92,5/20/2011,JKM,MINOPEN,NOHA,1,FALSE,F,U,unknown,,
129,5/20/2011,TRC,TEETER,peeps,60,FALSE,U,U,unknown,,
131,5/20/2011,TRC,ELEPHGRAVE,SAND,5,FALSE,U,U,unknown,,
205,6/3/2011,TRC,KNOT,gull,3,FALSE,U,U,unknown,,
235,6/10/2011,TRC,ALLIGATOR,gull,15,FALSE,U,U,unknown,,
237,6/10/2011,TRC,ANCHOR,gull,40,FALSE,U,U,unknown,,
249,6/10/2011,TRC,BOB,gull,15,FALSE,U,U,unknown,,
240,6/10/2011,TRC,BOINGI,gull,1,FALSE,U,U,unknown,,
