survey_week,beach,species_type,total
2011-02-28,NORTH,Shorebird,58
2011-02-28,SOUTH,Shorebird,682
2011-03-07,SOUTH,Shorebird,96
2011-04-11,SOUTH,Shorebird,56
2011-05-09,NORTH,Shorebird,220
2011-05-09,SOUTH,Shorebird,100
2011-05-16,NORTH,Shorebird,122
2011-05-16,SOUTH,Shorebird,114
2011-05-30,NORTH,Shorebird,35
2011-05-30,SOUTH,Shorebird,129
2011-06-06,NORTH,Shorebird,210
2011-06-06,SOUTH,Shorebird,123
2011-06-13,NORTH,Gull,64
2011-06-13,NORTH,Shorebird,26
2011-06-13,SOUTH,Gull,20
2011-06-13,SOUTH,Shorebird,175
2011-06-20,NORTH,Gull,80
2011-06-20,NORTH,Shorebird,84
2011-06-20,PURISIMA,Shorebird,2
2011-06-20,SOUTH,Gull,10
2011-06-20,SOUTH,Shorebird,151
2011-06-27,NORTH,Gull,586
2011-06-27,NORTH,Shorebird,154
2011-06-27,SOUTH,Shorebird,89
2011-07-04,NORTH,Gull,852
2011-07-04,NORTH,Shorebird,114
2011-07-04,SOUTH,Gull,243
2011-07-04,SOUTH,Shorebird,153
2011-07-11,NORTH,Shorebird,119
2011-07-11,PURISIMA,Shorebird,1
2011-07-11,SOUTH,Gull,84
2011-07-11,SOUTH,Shorebird,65
2011-07-18,NORTH,Gull,895
2011-07-18,NORTH,Shorebird,142
2011-07-18,SOUTH,Gull,137
2011-07-18,SOUTH,Shorebird,133
2011-07-25,NORTH,Gull,1182
2011-07-25,NORTH,Shorebird,92
2011-07-25,PURISIMA,Gull,16
2011-07-25,PURISIMA,Shorebird,7
2011-07-25,SOUTH,Gull,297
2011-07-25,SOUTH,Shorebird,262
2011-08-01,NORTH,Gull,1179
2011-08-01,NORTH,Shorebird,77
2011-08-01,PURISIMA,Gull,43
2011-08-01,PURISIMA,Shorebird,18
2011-08-01,SOUTH,Gull,255
2011-08-01,SOUTH,Shorebird,361
2011-08-08,NORTH,Gull,687
2011-08-08,NORTH,Shorebird,92
2011-08-08,PURISIMA,Gull,130
2011-08-08,PURISIMA,Shorebird,2
2011-08-08,PURISIMA,Tern,2
2011-08-15,NORTH,Gull,1374
2011-08-15,NORTH,Shorebird,99
2011-08-15,SOUTH,Shorebird,270
2011-08-22,NORTH,Gull,930
2011-08-22,NORTH,Shorebird,51
2011-08-22,SOUTH,Gull,185
2011-08-22,SOUTH,Shorebird,575
2011-08-29,NORTH,Gull,173
2011-08-29,NORTH,Shorebird,213
2011-08-29,PURISIMA,Shorebird,20
2011-08-29,SOUTH,Gull,241
2011-08-29,SOUTH,Shorebird,213
2011-09-05,NORTH,Gull,983
2011-09-05,NORTH,Shorebird,275
2011-09-05,PURISIMA,Gull,14
2011-09-05,PURISIMA,Shorebird,207
2011-09-05,SOUTH,Gull,119
2011-09-05,SOUTH,Shorebird,226
2011-09-12,NORTH,Gull,525
2011-09-12,NORTH,Shorebird,139
2011-09-12,SOUTH,Gull,103
2011-09-12,SOUTH,Shorebird,615
2011-09-19,NORTH,Gull,1099
2011-09-19,NORTH,Shorebird,2243
2011-09-19,PURISIMA,Gull,14
2011-09-19,PURISIMA,Shorebird,302
2011-09-19,SOUTH,Gull,52
2011-09-19,SOUTH,Shorebird,269
2011-09-26,NORTH,Gull,587
2011-09-26,NORTH,Shorebird,188
2011-09-26,SOUTH,Gull,98
2011-09-26,SOUTH,Shorebird,596
2012-01-16,NORTH,Shorebird,112
2012-01-16,PURISIMA,Shorebird,2
2012-02-27,NORTH,Shorebird,13
2012-02-27,SOUTH,Shorebird,93
2012-03-05,NORTH,Gull,2
2012-03-05,NORTH,Shorebird,3432
2012-03-05,SOUTH,Shorebird,4952
2012-03-12,NORTH,Gull,1
2012-03-12,NORTH,Shorebird,1267
2012-03-12,SOUTH,Gull,1
2012-03-12,SOUTH,Shorebird,3365
2012-03-19,NORTH,Shorebird,2214
2012-03-19,SOUTH,Gull,1
2012-03-19,SOUTH,Shorebird,3136
2012-03-26,NORTH,Gull,1
2012-03-26,NORTH,Shorebird,6085
2012-03-26,PURISIMA,Gull,2
2012-03-26,PURISIMA,Shorebird,1
2012-03-26,SOUTH,Gull,8
2012-03-26,SOUTH,Shorebird,2751
2012-04-02,NORTH,Gull,4
2012-04-02,NORTH,Shorebird,1465
2012-04-09,NORTH,Shorebird,2072
2012-04-09,SOUTH,Gull,40
2012-04-09,SOUTH,Shorebird,3770
2012-04-16,NORTH,Shorebird,2435
2012-04-16,PURISIMA,Shorebird,4
2012-04-16,SOUTH,Gull,1
2012-04-16,SOUTH,Shorebird,1276
2012-04-23,NORTH,Shorebird,211
2012-04-23,SOUTH,Gull,5
2012-04-23,SOUTH,Shorebird,1758
2012-04-30,NORTH,Shorebird,409
2012-04-30,PURISIMA,Shorebird,1
2012-04-30,SOUTH,Gull,60
2012-04-30,SOUTH,Shorebird,2282
2012-05-07,NORTH,Gull,10
2012-05-07,NORTH,Shorebird,6461
2012-05-07,PURISIMA,Shorebird,1
