Transect Block,Beach Section Initials,Beach Section,Region,Y_PROJ,X_PROJ
Point Sal Beach,PSA,Point Sal Beach,Off Site,3864585,715045
Brown's Beach,BRO,Brown's Beach,Off Site,3863364,715719
MINOPENNORTH,MIN,Minuteman,North Beaches,3860311,718289
MINOPEN,MIN,Minuteman,North Beaches,3860002,718408
MINBORDER,MIN,Minuteman,North Beaches,3859611,718496
TUVU,MIN,Minuteman,North Beaches,3859327,718516
ALLIGATOR,MIN,Minuteman,North Beaches,3859179,718531
CHEST,MIN,Minuteman,North Beaches,3859063,718542
ANCHOR,MIN,Minuteman,North Beaches,3858840,718532
SHCREEK,SHN,Shuman North,North Beaches,3858576,718559
NEEDLE,SHN,Shuman North,North Beaches,3858391,718537
BOINGI,SHN,Shuman North,North Beaches,3858235,718523
SCAFFOLDING,SHN,Shuman North,North Beaches,3858038,718508
PIXIE,SHN,Shuman North,North Beaches,3857838,718485
SEADRAGON,SHN,Shuman North,North Beaches,3857556,718440
PILLOW,SHN,Shuman North,North Beaches,3857398,718416
CLUB,SHN,Shuman North,North Beaches,3857270,718400
HOOF,SHN,Shuman North,North Beaches,3857060,718358
TIRE,SHN,Shuman North,North Beaches,3856840,718299
THIRSTY,SHN,Shuman North,North Beaches,3856625,718262
BOB,SHN,Shuman North,North Beaches,3856428,718233
ROLLINGROCK,SHN,Shuman North,North Beaches,3856186,718202
SHSSTART,SHS,Shuman South,North Beaches,3856007,718184
RAINBOWSPIN,SHS,Shuman South,North Beaches,3855802,718134
BUOYFARM,SHS,Shuman South,North Beaches,3855633,718084
RUPAUL,SHS,Shuman South,North Beaches,3855357,718047
MINIDUMP,SHS,Shuman South,North Beaches,3855178,718020
OJ,SHS,Shuman South,North Beaches,3854912,717972
BOTTLEBUOY,SHS,Shuman South,North Beaches,3854682,717928
MOLE,SHS,Shuman South,North Beaches,3854435,717887
BOTTLELOG,SHS,Shuman South,North Beaches,3854218,717859
TRILOG,SHS,Shuman South,North Beaches,3853967,717804
SHSEND,SAN,San Antonio,North Beaches,3853725,717760
ARROWHEAD,SAN,San Antonio,North Beaches,3853514,717685
L13BUOY,SAN,San Antonio,North Beaches,3853403,717662
NICEPERCH,SAN,San Antonio,North Beaches,3853294,717626
TOMBSTONE,SAN,San Antonio,North Beaches,3853154,717631
TREX,SAN,San Antonio,North Beaches,3853022,717614
GEEK,SAN,San Antonio,North Beaches,3852870,717582
DEADBUG,SAN,San Antonio,North Beaches,3852719,717540
TEETER,SAN,San Antonio,North Beaches,3852589,717513
SHORTRIBS,SAN,San Antonio,North Beaches,3852446,717489
ELEPHGRAVE,SAN,San Antonio,North Beaches,3852313,717442
STIX,SAN,San Antonio,North Beaches,3852211,717408
JUGHEAD,SAN,San Antonio,North Beaches,3852069,717348
TRASH,SAN,San Antonio,North Beaches,3851930,717290
PICKUPSTIX,SAN,San Antonio,North Beaches,3851788,717252
WISHBONE,SAN,San Antonio,North Beaches,3851637,717206
GROSS,SAN,San Antonio,North Beaches,3851508,717163
TURTLE,SAN,San Antonio,North Beaches,3851316,717091
BOAT,SAN,San Antonio,North Beaches,3851145,717049
NARROWS,SAN,San Antonio,North Beaches,3850988,717008
COBBLE,PNO,Purisima North,Purisima Beaches,3850478,716793
POCKET1,PNO,Purisima North,Purisima Beaches,3850211,716720
POCKET2,PNO,Purisima North,Purisima Beaches,3849377,716466
PURISIMANORTH,PNO,Purisima North,Purisima Beaches,3849000,716365
PURISIMACOL,PCO,Purisima Colony,Purisima Beaches,3848600,716531
PURISIMACOL END,PCO,Purisima Colony,Purisima Beaches,3846885,717243
WALL OPEN,WAL,Wall Beach,South Beaches,3843549,719601
WALLBORDER,WAL,Wall Beach,South Beaches,3843076,719727
WILLOW,WAL,Wall Beach,South Beaches,3842872,719716
CANON,WAL,Wall Beach,South Beaches,3842742,719708
BEACH FUZZ,WAL,Wall Beach,South Beaches,3842584,719691
KNOT,WAL,Wall Beach,South Beaches,3842471,719667
LEG,WAL,Wall Beach,South Beaches,3842340,719645
TP,WAL,Wall Beach,South Beaches,3842238,719648
LOUNGE,WAL,Wall Beach,South Beaches,3842113,719617
SPLITLOG,WAL,Wall Beach,South Beaches,3841901,719604
CIGAR,WAL,Wall Beach,South Beaches,3841824,719587
BOWL,WAL,Wall Beach,South Beaches,3841694,719611
TIKI,WAL,Wall Beach,South Beaches,3841635,719574
TIP,SNO,Surf North,South Beaches,3841507,719554
PILE,SNO,Surf North,South Beaches,3841380,719512
FORK,SNO,Surf North,South Beaches,3841223,719460
TOTEM,SNO,Surf North,South Beaches,3841109,719431
BOJUM,SNO,Surf North,South Beaches,3841017,719410
BUOY,SNO,Surf North,South Beaches,3840890,719390
NSURFOPEN,SNO,Surf North,South Beaches,3840670,719336
SSURFCLOSED,SNO,Surf North,South Beaches,3839952,719184
SIGN,SNO,Surf North,South Beaches,3839745,719129
PAINT,SNO,Surf North,South Beaches,3839628,719086
FORT,SNO,Surf North,South Beaches,3839499,719045
PTRASH,SNO,Surf North,South Beaches,3839358,719017
STOOL,SNO,Surf North,South Beaches,3839242,718987
DROOP,SNO,Surf North,South Beaches,3839144,718961
SCISSORS,SNO,Surf North,South Beaches,3839014,718921
DRIFTWOOD,SNO,Surf North,South Beaches,3838915,718901
WHISKERS,SNO,Surf North,South Beaches,3838796,718863
BORDER TRAIL,SSO,Surf South,South Beaches,3838755,718855
METEOR,SSO,Surf South,South Beaches,3838680,718812
STUMP,SSO,Surf South,South Beaches,3838531,718776
PEBBLE,SSO,Surf South,South Beaches,3838422,718754
SQUID,SSO,Surf South,South Beaches,3838317,718718
ELEPHANTSEAL,SSO,Surf South,South Beaches,3838186,718662
WITCH,SSO,Surf South,South Beaches,3838088,718652
CAMP,SSO,Surf South,South Beaches,3837926,718608
OBVIOUSLOG,SSO,Surf South,South Beaches,3837828,718577
4303BUOY,SSO,Surf South,South Beaches,3837695,718544
ROCKBLUE,SSO,Surf South,South Beaches,3837587,718491
FINGER,SSO,Surf South,South Beaches,3837396,718449
GRANDCANYON,SSO,Surf South,South Beaches,3837280,718417
AMPHITHEATRE,SSO,Surf South,South Beaches,3837016,718345
UTAH,SSO,Surf South,South Beaches,3836881,718289
ICELAVA,SSO,Surf South,South Beaches,3836738,718243
DISC,SSO,Surf South,South Beaches,3836454,718128
ENDCOVE,SSO,Surf South,South Beaches,3836133,718015
JALAMA A,JAL,Jalama Beach,Off Site,3823029,728416
JALAMA NORTH,JAL,Jalama Beach,Off Site,3823029,728416
JALAMA B,JAL,Jalama Beach,Off Site,3822710,728575
JALAMA C,JAL,Jalama Beach,Off Site,3822302,728874
JALAMA BEACH,JAL,Jalama Beach,Off Site,3821861,729120
JALAMA D,JAL,Jalama Beach,Off Site,3821315,729430
JALAMA SOUTH,JAL,Jalama Beach,Off Site,3821315,728874
JALAMA E,JAL,Jalama Beach,Off Site,3820838,729598
JALAMA F,JAL,Jalama Beach,Off Site,3820367,729761
JALAMA G,JAL,Jalama Beach,Off Site,3819870,729952
JALAMA END,JAL,Jalama Beach,Off Site,3819297,730463
UNKNOWN WALL,WAL,Wall Beach,South Beaches,,
UNKNOWN SURF NORTH,SNO,Surf North,South Beaches,,
UNKNOWN SHUMAN SOUTH,SHS,Shuman South,North Beaches,,
UNKNOWN SHUMAN NORTH,SHN,Shuman North,North Beaches,,
UNKNOWN SAN ANTONIO,SAN,San Antonio,North Beaches,,
UNKNOWN PURISIMA NORTH,PNO,Purisima North,Purisima Beaches,,
UNKNOWN MINUTEMAN,MIN,Minuteman,North Beaches,,
SNO-Restoration,SNO,Surf North,South Beaches,,
SLC10,PNO,Purisima North,Purisima Beaches,,
UNKNOWN SURF SOUTH,SSO,Surf South,South Beaches,,
