ID,Survey Date,Monitor Initials,Transect Block,Time,Males Individual,Total Male,Females Individual,Total Female,Unknown Individual,Pairs,Flock,Birds Checked,Banded,Juvenile,Chicks,Brood,Coyote Tracks,Pig Tracks,Raccoon Tracks,Wrack,Seagrass,Wrack Assessed,Wrack Exclude,Transect Block Notes,Proofed
3,2/17/2015,JKM,NSURFOPEN,9:55,,0,,0,,,,,,,,,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,N portion only - combine w/ S portion,TRUE
4,2/17/2015,JKM,BUOY,10:00,,0,,0,,,,,,,,,FALSE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
5,2/17/2015,JKM,BOJUM,10:05,,0,,0,,,,,,,,,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
6,2/17/2015,JKM,TOTEM,10:08,,0,,0,,,,,,,,,FALSE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
7,2/17/2015,JKM,FORK,10:12,,0,,0,,,,,,,,,FALSE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
8,2/17/2015,JKM,PILE,10:15,,0,,0,,,,,,,,,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
9,2/17/2015,JKM,TIP,10:23,,0,,0,,,,,,,,,FALSE,FALSE,FALSE,0-1,FALSE,FALSE,FALSE,,TRUE
10,2/17/2015,JKM,TIKI,10:25,,0,,0,,,,,,,,,FALSE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
15,3/10/2015,JKM,SHSEND,11:25,0,0,0,0,0,0,0,,,0,0,0,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
16,3/10/2015,JKM,ARROWHEAD,11:22,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
17,3/10/2015,JKM,L13BUOY,11:19,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
18,3/10/2015,JKM,NICEPERCH,11:17,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,TRUE,1,TRUE,FALSE,FALSE,,TRUE
19,3/10/2015,JKM,TOMBSTONE,11:14,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
20,3/10/2015,JKM,TREX,11:10,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
21,3/10/2015,JKM,GEEK,11:48,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
22,3/10/2015,JKM,DEADBUG,11:54,9,9,0,0,33,0,41,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
23,3/10/2015,JKM,TEETER,11:59,2,2,1,1,0,0,3,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
24,3/10/2015,JKM,SHORTRIBS,12:05,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
25,3/10/2015,JKM,ELEPHGRAVE,12:09,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
26,3/10/2015,JKM,STIX,12:19,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
27,3/10/2015,JKM,JUGHEAD,12:30,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
28,3/10/2015,JKM,TRASH,12:34,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
29,3/10/2015,JKM,PICKUPSTIX,12:38,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
30,3/10/2015,JKM,WISHBONE,12:41,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
31,3/10/2015,JKM,GROSS,12:45,1,1,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
32,3/10/2015,JKM,TURTLE,12:59,1,1,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0-1,TRUE,FALSE,FALSE,,TRUE
33,3/10/2015,JKM,BOAT,13:05,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
34,3/10/2015,JKM,NARROWS,13:11,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
35,3/10/2015,JKM,COBBLE,13:25,1,1,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,,TRUE
36,3/10/2015,JKM,POCKET1,13:38,0,0,0,0,0,0,0,,,0,0,0,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,,TRUE
