ID_new,source,ID,Survey Week,Survey Date,Monitor Initials,Transect Block,Beach Section Initials,BEACH,Time,Males Individual,Females Individual,Unknown Individual,Pairs,Flock,Birds Checked,Banded,Juvenile,Chicks,Brood,Total,Sanity Check,Transect Block Notes,Poss Dup
1,currentDB,3332,11/11/2013,11/13/2013,JKM,GEEK,SAN,NORTH,9:34,0,0,0,0,0,,,0,0,0,0,FALSE,,
2,currentDB,3333,11/11/2013,11/13/2013,JKM,DEADBUG,SAN,NORTH,9:30,0,0,0,0,0,,,0,0,0,0,FALSE,,
3,currentDB,3334,11/11/2013,11/13/2013,JKM,TEETER,SAN,NORTH,9:26,0,0,0,0,0,,,0,0,0,0,FALSE,,
4,currentDB,3335,11/11/2013,11/13/2013,JKM,SHORTRIBS,SAN,NORTH,9:22,0,0,0,0,0,,,0,0,0,0,FALSE,,
5,currentDB,3336,11/11/2013,11/13/2013,JKM,ELEPHGRAVE,SAN,NORTH,9:19,0,0,0,0,0,,,0,0,0,0,FALSE,,
6,currentDB,3337,11/11/2013,11/13/2013,JKM,STIX,SAN,NORTH,9:15,0,0,0,0,0,,,0,0,0,0,FALSE,,
7,currentDB,3338,11/11/2013,11/13/2013,JKM,JUGHEAD,SAN,NORTH,9:11,0,0,0,0,0,,,0,0,0,0,FALSE,,
8,currentDB,3339,11/11/2013,11/13/2013,JKM,TRASH,SAN,NORTH,9:08,0,0,0,0,0,,,0,0,0,0,FALSE,,
9,currentDB,3340,11/11/2013,11/13/2013,JKM,PICKUPSTIX,SAN,NORTH,9:05,0,0,0,0,0,,,0,0,0,0,FALSE,,
10,currentDB,3341,11/11/2013,11/13/2013,JKM,WISHBONE,SAN,NORTH,8:56,0,0,0,0,0,,,0,0,0,0,FALSE,,
11,currentDB,3342,11/11/2013,11/13/2013,JKM,GROSS,SAN,NORTH,8:51,0,0,0,0,0,,,0,0,0,0,FALSE,,
12,currentDB,3343,11/11/2013,11/13/2013,JKM,TURTLE,SAN,NORTH,8:48,0,0,0,0,0,,,0,0,0,0,FALSE,,
13,currentDB,3344,11/11/2013,11/13/2013,JKM,BOAT,SAN,NORTH,8:40,0,0,0,0,0,,,0,0,0,0,FALSE,SNPL tracks present,
14,currentDB,3345,11/11/2013,11/13/2013,JKM,NARROWS,SAN,NORTH,8:30,0,0,0,0,0,,,0,0,0,0,FALSE,"windy, sand movement",
