beach,species,survey_week,beach_section_initials,species_2,total,mean_wrack
NORTH,SNPL,2012-03-12,MIN,SNPL,14,1.5
PURISIMA,gull,2012-03-12,PNO,NA,1,0
NORTH,CAGU,2012-03-12,SAN,Gull,1,1.275
NORTH,SAND,2012-03-12,SAN,SAND,66,1.275
NORTH,SNPL,2012-03-12,SAN,SNPL,25,1.275
NORTH,SNPL,2012-03-12,SHN,SNPL,9,1.9230769230769231
NORTH,SAND,2012-03-12,SHS,SAND,1065,1.7
SOUTH,SAND,2012-03-12,SNO,SAND,826,1.8666666666666667
SOUTH,SNPL,2012-03-12,SNO,SNPL,141,1.8666666666666667
SOUTH,WEGU,2012-03-12,SNO,Gull,1,1.8666666666666667
SOUTH,SAND,2012-03-12,SSO,SAND,2316,1.7352941176470589
SOUTH,SNPL,2012-03-12,SSO,SNPL,35,1.7352941176470589
SOUTH,SAND,2012-03-12,WAL,SAND,7,1.4615384615384615
SOUTH,SNPL,2012-03-12,WAL,SNPL,11,1.4615384615384615
NORTH,gull,2012-03-19,MIN,NA,1,1.5
NORTH,SNPL,2012-03-19,MIN,SNPL,19,1.5
NORTH,SAND,2012-03-19,SAN,SAND,1500,1.05
NORTH,SNPL,2012-03-19,SAN,SNPL,67,1.05
NORTH,gull,2012-03-19,SHN,NA,2,1.9615384615384615
NORTH,SAND,2012-03-19,SHN,SAND,400,1.9615384615384615
NORTH,SNPL,2012-03-19,SHN,SNPL,7,1.9615384615384615
NORTH,gull,2012-03-19,SHS,NA,1,1.65
NORTH,SAND,2012-03-19,SHS,SAND,150,1.65
NORTH,SNPL,2012-03-19,SHS,SNPL,8,1.65
SOUTH,SAND,2012-03-19,SNO,SAND,3000,1.7222222222222223
SOUTH,SNPL,2012-03-19,SNO,SNPL,74,1.7222222222222223
SOUTH,CAGU,2012-03-19,SSO,Gull,1,2.3529411764705883
SOUTH,SNPL,2012-03-19,SSO,SNPL,41,2.3529411764705883
SOUTH,SNPL,2012-03-19,WAL,SNPL,13,2.75
NORTH,gull,2012-03-26,MIN,NA,2,1.5
NORTH,SAND,2012-03-26,MIN,SAND,2500,1.5
NORTH,SNPL,2012-03-26,MIN,SNPL,18,1.5
PURISIMA,WEGU,2012-03-26,PNO,Gull,2,1.8333333333333333
NORTH,SNPL,2012-03-26,SAN,SNPL,55,1.325
NORTH,SAND,2012-03-26,SHN,SAND,3110,1.7307692307692308
NORTH,SNPL,2012-03-26,SHN,SNPL,15,1.7307692307692308
NORTH,CAGU,2012-03-26,SHS,Gull,1,1.6
NORTH,SAND,2012-03-26,SHS,SAND,300,1.6
NORTH,SNPL,2012-03-26,SHS,SNPL,14,1.6
SOUTH,SAND,2012-03-26,SNO,SAND,1950,1.5
SOUTH,SNPL,2012-03-26,SNO,SNPL,81,1.5
SOUTH,WEGU,2012-03-26,SNO,Gull,1,1.5
SOUTH,SAND,2012-03-26,SSO,SAND,1,1.5277777777777777
SOUTH,SNPL,2012-03-26,SSO,SNPL,44,1.5277777777777777
SOUTH,WEGU,2012-03-26,SSO,Gull,7,1.5277777777777777
SOUTH,SAND,2012-03-26,WAL,SAND,500,1.125
SOUTH,SNPL,2012-03-26,WAL,SNPL,28,1.125
NORTH,CAGU,2012-04-02,MIN,Gull,3,0.9166666666666666
NORTH,SAND,2012-04-02,MIN,SAND,415,0.9166666666666666
NORTH,SNPL,2012-04-02,MIN,SNPL,41,0.9166666666666666
NORTH,WEGU,2012-04-02,MIN,Gull,1,0.9166666666666666
NORTH,SAND,2012-04-02,SHS,SAND,1000,2
NORTH,SAND,2012-04-09,SAN,SAND,2000,1.8
NORTH,SNPL,2012-04-09,SAN,SNPL,22,1.8
SOUTH,SAND,2012-04-09,SNO,SAND,1100,1.2666666666666666
SOUTH,SNPL,2012-04-09,SNO,SNPL,75,1.2666666666666666
SOUTH,SNPL,2012-04-09,SSO,SNPL,30,1.8888888888888888
SOUTH,SAND,2012-04-09,WAL,SAND,1700,1.1538461538461537
SOUTH,SNPL,2012-04-09,WAL,SNPL,22,1.1538461538461537
SOUTH,WEGU,2012-04-09,WAL,Gull,40,1.1538461538461537
NORTH,SNPL,2012-04-16,MIN,SNPL,11,1.5833333333333333
PURISIMA,SNPL,2012-04-16,PNO,SNPL,4,1.5
NORTH,gull,2012-04-16,SAN,NA,2,1.075
NORTH,SAND,2012-04-16,SAN,SAND,27,1.075
NORTH,SNPL,2012-04-16,SAN,SNPL,61,1.075
NORTH,SAND,2012-04-16,SHN,SAND,2000,1.5384615384615385
NORTH,SNPL,2012-04-16,SHN,SNPL,14,1.5384615384615385
NORTH,SAND,2012-04-16,SHS,SAND,20,1.3
NORTH,SNPL,2012-04-16,SHS,SNPL,14,1.3
SOUTH,SAND,2012-04-16,SNO,SAND,630,2.033333333333333
SOUTH,SNPL,2012-04-16,SNO,SNPL,68,2.033333333333333
SOUTH,CAGU,2012-04-16,SSO,Gull,1,1.5555555555555556
SOUTH,gull,2012-04-16,SSO,NA,1,1.5555555555555556
SOUTH,SAND,2012-04-16,SSO,SAND,80,1.5555555555555556
SOUTH,SNPL,2012-04-16,SSO,SNPL,29,1.5555555555555556
SOUTH,SAND,2012-04-16,WAL,SAND,43,1.5384615384615385
SOUTH,SNPL,2012-04-16,WAL,SNPL,44,1.5384615384615385
NORTH,SNPL,2012-04-23,MIN,SNPL,13,0.9285714285714286
NORTH,SNPL,2012-04-23,SHN,SNPL,2,1.1666666666666667
SOUTH,CAGU,2012-04-23,WAL,Gull,5,1.0416666666666667
SOUTH,SAND,2012-04-23,WAL,SAND,1730,1.0416666666666667
