ID,Survey_week,Survey Date,Monitor Initials,Transect Block,Time,Coyote Tracks,Pig Tracks,Raccoon Tracks,Wrack,Seagrass,Wrack Assessed,Wrack Exclude
1468,3/7/2011,3/9/2011,RBB,WALL OPEN,10:00,No,No,No,-9,,,
1469,3/7/2011,3/9/2011,RBB,WALLBORDER,10:10,No,No,No,-9,,,
1470,3/7/2011,3/9/2011,RBB,WILLOW,10:12,No,No,No,-9,,,
1471,3/7/2011,3/9/2011,RBB,CANON,10:15,No,No,No,-9,,,
1472,3/7/2011,3/9/2011,RBB,BEACH FUZZ,10:18,Yes,No,No,-9,,,
1473,3/7/2011,3/9/2011,RBB,KNOT,10:25,No,No,No,-9,,,
1474,3/7/2011,3/9/2011,RBB,TP,10:27,Yes,No,No,-9,,,
1475,3/7/2011,3/9/2011,RBB,LOUNGE,10:30,No,No,No,-9,,,
1477,3/7/2011,3/9/2011,RBB,SPLITLOG,10:35,No,No,No,-9,,,
1478,3/7/2011,3/9/2011,RBB,CIGAR,10:38,No,No,No,-9,,,
1479,3/7/2011,3/9/2011,RBB,BOWL,10:40,No,No,No,-9,,,
1480,3/7/2011,3/9/2011,RBB,TIKI,11:00,No,No,No,-9,,,
1481,3/7/2011,3/9/2011,RBB,TIP,12:00,No,No,No,-9,,,
1482,3/7/2011,3/9/2011,RBB,PILE,12:03,No,No,No,-9,,,
1483,3/7/2011,3/9/2011,RBB,FORK,12:06,No,No,No,-9,,,
1484,3/7/2011,3/9/2011,RBB,TOTEM,12:15,No,Yes,No,-9,,,
1485,3/7/2011,3/9/2011,RBB,BOJUM,12:18,No,No,No,-9,,,
1486,3/7/2011,3/9/2011,RBB,BUOY,12:20,No,No,No,-9,,,
1487,3/7/2011,3/9/2011,RBB,NSURFOPEN,12:22,No,No,No,-9,,,
1490,3/7/2011,3/9/2011,RBB,SIGN,13:12,No,No,No,-9,,,
1492,3/7/2011,3/9/2011,RBB,FORT,13:15,No,No,No,-9,,,
1491,3/7/2011,3/9/2011,RBB,PAINT,13:15,No,No,No,-9,,,
1493,3/7/2011,3/9/2011,RBB,PTRASH,13:18,No,No,No,-9,,,
1494,3/7/2011,3/9/2011,RBB,STOOL,13:22,No,No,No,-9,,,
1495,3/7/2011,3/9/2011,RBB,DROOP,13:28,No,No,No,-9,,,
1497,3/7/2011,3/9/2011,RBB,DRIFTWOOD,13:35,No,No,No,-9,,,
1499,3/7/2011,3/9/2011,RBB,METEOR,13:40,No,No,No,-9,,,
1500,3/7/2011,3/9/2011,RBB,STUMP,13:45,Yes,No,No,-9,,,
1501,3/7/2011,3/9/2011,RBB,PEBBLE,13:46,No,No,No,-9,,,
1503,3/7/2011,3/9/2011,RBB,ELEPHANTSEAL,13:51,Yes,No,No,-9,,,
1502,3/7/2011,3/9/2011,RBB,SQUID,13:51,Yes,No,No,-9,,,
1504,3/7/2011,3/9/2011,RBB,WITCH,13:56,No,No,No,-9,,,
1505,3/7/2011,3/9/2011,RBB,CAMP,13:58,No,No,No,-9,,,
1506,3/7/2011,3/9/2011,RBB,OBVIOUSLOG,13:59,No,No,No,-9,,,
1507,3/7/2011,3/9/2011,RBB,4303BUOY,14:01,No,No,No,-9,,,
1510,3/7/2011,3/9/2011,RBB,AMPHITHEATRE,14:05,No,No,No,-9,,,
1509,3/7/2011,3/9/2011,RBB,FINGER,14:10,No,No,No,-9,,,
1508,3/7/2011,3/9/2011,RBB,ROCKBLUE,14:15,No,No,No,-9,,,
22,4/11/2011,4/14/2011,RBB,WALL OPEN,8:38,No,No,No,-9,,,
23,4/11/2011,4/14/2011,RBB,WALLBORDER,8:42,No,No,No,-9,,,
25,4/11/2011,4/14/2011,RBB,WILLOW,8:46,No,No,No,-9,,,
27,4/11/2011,4/14/2011,RBB,CANON,8:51,No,No,No,-9,,,
26,4/11/2011,4/14/2011,RBB,BEACH FUZZ,8:55,No,No,No,-9,,,
28,4/11/2011,4/14/2011,RBB,KNOT,9:01,No,No,No,-9,,,
